Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Good / A,47.05,-4.96,49.36%,3.23%,137.86,1.48
breachBreach,Initiator,Fair / B,41.31,+0.52,49.41%,2.12%,131.04,1.41
brimstoneBrimstone,Controller,Weak / C,35.41,-1.54,49.09%,0.35%,135.08,1.51
chamberChamber,Sentinel,Good / A,54.02,-0.53,50.23%,4.80%,149.83,1.33
cloveClove,Controller,God / S+,81.74,+5.45,51.27%,10.76%,155.21,1.54
cypherCypher,Sentinel,Strong / S,72.05,+3.57,50.19%,9.93%,134.59,1.31
deadlockDeadlock,Sentinel,Fair / B,43.88,+0.72,50.34%,2.56%,137.45,1.31
fadeFade,Initiator,Bad / D,34.74,+0.15,49.58%,0.53%,131.32,1.36
gekkoGekko,Initiator,Good / A,54.12,-1.30,50.10%,5.65%,128.15,1.27
harborHarbor,Controller,Bad / D,32.86,-1.19,48.57%,0.44%,131.24,1.36
isoIso,Duelist,Strong / S,59.92,+2.61,50.61%,5.49%,167.16,1.40
jettJett,Duelist,God / S+,96.73,-0.07,49.96%,15.77%,157.31,1.31
kayoKAY/O,Initiator,Fair / B,38.10,+1.70,49.03%,1.15%,134.21,1.49
killjoyKilljoy,Sentinel,Bad / D,33.76,+0.86,49.51%,0.40%,138.73,1.25
neonNeon,Duelist,Good / A,47.57,-0.13,50.14%,3.42%,147.90,1.27
omenOmen,Controller,Good / A,51.73,-1.30,48.62%,4.86%,142.15,1.40
phoenixPhoenix,Duelist,Fair / B,41.00,-0.78,50.12%,1.00%,159.03,1.42
razeRaze,Duelist,Fair / B,40.50,-0.73,49.74%,1.44%,155.44,1.30
reynaReyna,Duelist,Strong / S,74.93,+1.75,50.33%,9.71%,158.20,1.40
sageSage,Sentinel,Weak / C,38.02,+0.48,50.06%,1.38%,128.10,1.32
skyeSkye,Initiator,Weak / C,34.86,-3.57,49.12%,0.63%,133.75,1.37
sovaSova,Initiator,Strong / S,73.65,+3.03,50.31%,9.90%,140.55,1.39
viperViper,Controller,Weak / C,35.58,+0.57,49.49%,0.11%,148.02,1.43
vyseVyse,Sentinel,Good / A,46.84,-6.15,50.89%,2.64%,142.46,1.42
yoruYoru,Duelist,Fair / B,39.63,+0.84,49.25%,1.69%,145.84,1.30
