Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,28.03,-2.56,49.01%,0.83%,129.76,1.34
breachBreach,Initiator,Fair / B,41.38,+8.22,50.06%,2.12%,130.27,1.31
brimstoneBrimstone,Controller,Fair / B,42.62,+0.15,49.71%,2.29%,131.88,1.37
chamberChamber,Sentinel,Good / A,56.31,+1.14,50.19%,3.98%,142.44,1.31
cloveClove,Controller,God / S+,89.99,-1.98,51.21%,7.83%,148.12,1.43
cypherCypher,Sentinel,Strong / S,65.03,+0.46,50.56%,6.06%,128.57,1.31
deadlockDeadlock,Sentinel,Fair / B,41.28,+0.51,50.36%,2.31%,128.17,1.24
fadeFade,Initiator,Weak / C,35.18,+3.37,49.73%,2.02%,125.07,1.27
gekkoGekko,Initiator,Good / A,58.80,-1.32,50.30%,6.23%,124.50,1.21
harborHarbor,Controller,Bad / D,18.89,+5.05,48.47%,1.04%,124.00,1.22
isoIso,Duelist,Good / A,59.27,-1.08,50.09%,3.92%,152.83,1.32
jettJett,Duelist,Strong / S,68.63,-1.00,49.98%,6.30%,148.62,1.31
kayoKAY/O,Initiator,Weak / C,32.54,+3.20,48.77%,2.34%,125.00,1.34
killjoyKilljoy,Sentinel,Fair / B,40.19,+0.86,50.14%,2.33%,132.18,1.21
neonNeon,Duelist,Good / A,54.94,+0.17,49.93%,4.91%,138.02,1.24
omenOmen,Controller,Strong / S,63.69,-0.97,49.27%,7.04%,140.05,1.29
phoenixPhoenix,Duelist,Good / A,50.34,+1.54,49.83%,2.94%,146.65,1.33
razeRaze,Duelist,Good / A,48.95,-2.99,49.39%,3.89%,144.16,1.27
reynaReyna,Duelist,God / S+,98.89,+0.53,50.50%,10.27%,154.39,1.41
sageSage,Sentinel,Strong / S,67.78,-0.82,50.19%,8.18%,119.66,1.25
skyeSkye,Initiator,Weak / C,35.43,-2.03,49.53%,2.36%,122.16,1.29
sovaSova,Initiator,Fair / B,48.05,-1.05,49.84%,3.81%,132.34,1.28
viperViper,Controller,Bad / D,23.04,+2.06,48.74%,0.87%,131.06,1.24
vyseVyse,Sentinel,Fair / B,44.94,-13.30,49.90%,3.09%,130.49,1.30
yoruYoru,Duelist,Weak / C,35.81,+1.83,48.92%,3.06%,132.61,1.23
