Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Good / A,44.64,-3.50,49.49%,2.67%,139.23,1.49
breachBreach,Initiator,Fair / B,41.39,+0.06,49.52%,2.49%,131.03,1.38
brimstoneBrimstone,Controller,Weak / C,36.73,+3.82,50.32%,0.62%,135.71,1.50
chamberChamber,Sentinel,Good / A,56.95,-2.45,49.87%,5.36%,149.74,1.33
cloveClove,Controller,God / S+,84.54,+3.79,51.09%,10.16%,153.70,1.52
cypherCypher,Sentinel,Strong / S,70.20,+3.47,50.19%,8.60%,134.10,1.32
deadlockDeadlock,Sentinel,Fair / B,42.79,+0.73,50.50%,2.50%,134.96,1.30
fadeFade,Initiator,Weak / C,33.08,-1.98,49.31%,0.85%,132.22,1.34
gekkoGekko,Initiator,Good / A,58.14,-0.80,50.10%,6.35%,127.70,1.26
harborHarbor,Controller,Bad / D,27.89,-0.08,47.79%,0.53%,130.47,1.32
isoIso,Duelist,Good / A,58.65,+2.61,50.57%,4.69%,167.46,1.41
jettJett,Duelist,God / S+,97.09,+0.05,50.11%,13.87%,157.20,1.32
kayoKAY/O,Initiator,Weak / C,36.44,-2.60,48.43%,1.60%,133.39,1.46
killjoyKilljoy,Sentinel,Bad / D,31.65,-1.61,49.35%,0.76%,136.87,1.22
neonNeon,Duelist,Good / A,47.36,+2.43,50.23%,3.40%,146.52,1.27
omenOmen,Controller,Strong / S,58.78,+4.51,48.96%,5.71%,159.37,1.40
phoenixPhoenix,Duelist,Fair / B,40.43,-2.37,49.90%,1.44%,154.89,1.39
razeRaze,Duelist,Fair / B,41.51,+0.02,49.48%,2.14%,154.20,1.30
reynaReyna,Duelist,Strong / S,82.32,+0.83,50.34%,10.18%,159.56,1.42
sageSage,Sentinel,Fair / B,40.99,-1.64,49.99%,2.54%,126.91,1.30
skyeSkye,Initiator,Weak / C,35.20,+1.50,49.80%,1.03%,131.94,1.37
sovaSova,Initiator,Strong / S,67.74,+3.85,50.39%,7.56%,140.95,1.39
viperViper,Controller,Bad / D,31.71,+0.14,49.43%,0.19%,142.30,1.35
vyseVyse,Sentinel,Good / A,46.67,-10.24,50.26%,3.02%,140.70,1.39
yoruYoru,Duelist,Fair / B,37.11,-0.53,48.83%,1.71%,145.34,1.30
