Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,35.93,-2.64,49.62%,1.54%,138.68,1.45
breachBreach,Initiator,Fair / B,41.02,+1.30,49.95%,2.71%,133.15,1.35
brimstoneBrimstone,Controller,Fair / B,35.38,+1.77,49.72%,1.41%,136.68,1.46
chamberChamber,Sentinel,Good / A,59.74,-1.21,50.08%,5.13%,151.66,1.37
cloveClove,Controller,God / S+,92.58,+1.43,51.34%,9.32%,154.24,1.51
cypherCypher,Sentinel,Strong / S,67.32,+0.88,50.39%,6.92%,133.95,1.34
deadlockDeadlock,Sentinel,Fair / B,39.20,+2.12,50.37%,2.29%,135.16,1.29
fadeFade,Initiator,Weak / C,32.03,+2.31,49.96%,1.33%,131.18,1.33
gekkoGekko,Initiator,Strong / S,60.16,-0.35,50.31%,6.20%,128.63,1.26
harborHarbor,Controller,Bad / D,22.67,+0.75,48.66%,0.76%,129.29,1.29
isoIso,Duelist,Good / A,59.80,-0.02,50.61%,4.21%,165.49,1.41
jettJett,Duelist,Strong / S,91.65,-0.30,50.23%,10.24%,159.22,1.36
kayoKAY/O,Initiator,Weak / C,33.61,-0.34,48.77%,1.99%,132.17,1.42
killjoyKilljoy,Sentinel,Weak / C,32.80,+1.47,49.90%,1.62%,137.49,1.24
neonNeon,Duelist,Good / A,50.21,+0.58,50.03%,4.05%,146.57,1.28
omenOmen,Controller,Strong / S,65.04,-1.00,49.15%,6.68%,150.01,1.37
phoenixPhoenix,Duelist,Fair / B,44.09,+0.44,50.07%,2.20%,157.24,1.40
razeRaze,Duelist,Fair / B,44.78,-1.64,49.55%,3.12%,152.69,1.31
reynaReyna,Duelist,God / S+,98.36,-0.44,50.46%,10.82%,162.02,1.45
sageSage,Sentinel,Good / A,53.49,-0.33,50.02%,5.26%,124.95,1.29
skyeSkye,Initiator,Bad / D,30.99,-2.12,49.15%,1.74%,128.81,1.33
sovaSova,Initiator,Good / A,56.24,+3.23,50.26%,4.81%,140.04,1.37
viperViper,Controller,Bad / D,22.79,+4.02,48.81%,0.38%,136.87,1.31
vyseVyse,Sentinel,Good / A,46.59,-11.62,50.08%,3.29%,139.79,1.37
yoruYoru,Duelist,Weak / C,33.55,+1.69,49.00%,1.98%,142.48,1.29
