Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Good / A,49.07,-6.19,48.93%,3.91%,140.02,1.51
breachBreach,Initiator,Weak / C,37.31,-5.96,48.92%,1.23%,128.50,1.40
brimstoneBrimstone,Controller,Weak / C,37.33,-1.04,49.52%,0.20%,138.41,1.55
chamberChamber,Sentinel,Good / A,48.48,-4.68,50.05%,3.47%,151.27,1.34
cloveClove,Controller,God / S+,82.32,+8.34,51.14%,11.92%,156.00,1.55
cypherCypher,Sentinel,Strong / S,71.40,+2.39,50.08%,10.67%,134.52,1.30
deadlockDeadlock,Sentinel,Good / A,45.12,+1.62,50.41%,2.83%,137.31,1.32
fadeFade,Initiator,Bad / D,34.56,+1.27,49.03%,0.27%,134.03,1.39
gekkoGekko,Initiator,Good / A,49.65,-0.31,50.63%,4.36%,129.80,1.29
harborHarbor,Controller,Bad / D,34.00,+0.61,48.46%,0.23%,137.05,1.40
isoIso,Duelist,Strong / S,63.45,+4.06,50.51%,6.90%,167.73,1.40
jettJett,Duelist,God / S+,96.70,+4.02,50.00%,17.32%,156.68,1.30
kayoKAY/O,Initiator,Fair / B,39.18,+0.16,49.41%,0.96%,135.34,1.52
killjoyKilljoy,Sentinel,Bad / D,33.78,-9.30,49.56%,0.14%,138.70,1.24
neonNeon,Duelist,Good / A,48.10,-1.27,50.17%,3.65%,147.43,1.27
omenOmen,Controller,Good / A,49.23,-3.25,48.99%,3.93%,152.22,1.40
phoenixPhoenix,Duelist,Fair / B,39.71,-6.26,49.56%,0.71%,159.68,1.41
razeRaze,Duelist,Fair / B,40.43,+3.47,50.07%,0.92%,159.71,1.34
reynaReyna,Duelist,Strong / S,71.34,+2.01,50.90%,9.23%,159.20,1.40
sageSage,Sentinel,Weak / C,36.71,-2.39,49.89%,0.75%,131.35,1.34
skyeSkye,Initiator,Weak / C,37.26,+1.31,50.65%,0.32%,133.94,1.40
sovaSova,Initiator,Strong / S,78.73,+4.80,50.45%,12.15%,140.70,1.39
viperViper,Controller,Fair / B,40.63,+12.46,50.59%,0.09%,166.26,1.48
vyseVyse,Sentinel,Fair / B,44.18,-6.42,50.46%,1.94%,144.12,1.44
yoruYoru,Duelist,Fair / B,41.33,+0.57,49.86%,1.90%,143.24,1.29
