Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
breachBreach,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
brimstoneBrimstone,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
chamberChamber,Sentinel,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
cloveClove,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
cypherCypher,Sentinel,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
deadlockDeadlock,Sentinel,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
fadeFade,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
gekkoGekko,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
harborHarbor,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
isoIso,Duelist,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
jettJett,Duelist,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
kayoKAY/O,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
killjoyKilljoy,Sentinel,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
neonNeon,Duelist,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
omenOmen,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
phoenixPhoenix,Duelist,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
razeRaze,Duelist,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
reynaReyna,Duelist,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
sageSage,Sentinel,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
skyeSkye,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
sovaSova,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
viperViper,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
vyseVyse,Sentinel,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
yoruYoru,Duelist,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
