Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,30.89,+0.84,49.15%,0.47%,129.89,1.34
breachBreach,Initiator,Fair / B,34.43,+6.58,50.03%,1.09%,122.02,1.25
brimstoneBrimstone,Controller,Fair / B,45.16,+0.84,49.50%,3.36%,112.27,1.26
chamberChamber,Sentinel,Good / A,50.01,-1.36,49.67%,3.11%,134.66,1.28
cloveClove,Controller,Strong / S,68.53,-1.22,50.88%,4.69%,138.32,1.37
cypherCypher,Sentinel,Good / A,49.00,+0.77,49.93%,3.45%,120.28,1.25
deadlockDeadlock,Sentinel,Weak / C,32.46,+1.12,49.61%,1.44%,119.59,1.17
fadeFade,Initiator,Weak / C,31.47,-2.37,48.94%,2.14%,110.46,1.14
gekkoGekko,Initiator,Good / A,54.61,-0.13,49.89%,5.09%,112.86,1.11
harborHarbor,Controller,Bad / D,19.89,-0.30,48.39%,0.69%,113.34,1.12
isoIso,Duelist,Good / A,53.01,-0.55,49.62%,3.71%,136.64,1.23
jettJett,Duelist,God / S+,97.06,-0.53,50.22%,10.07%,132.87,1.25
kayoKAY/O,Initiator,Fair / B,32.81,-0.46,48.45%,2.12%,113.90,1.25
killjoyKilljoy,Sentinel,Weak / C,32.22,+0.26,49.62%,1.68%,118.53,1.11
neonNeon,Duelist,Good / A,58.01,+2.68,49.58%,5.22%,124.17,1.16
omenOmen,Controller,Good / A,56.00,-3.22,48.80%,5.14%,126.52,1.20
phoenixPhoenix,Duelist,Strong / S,73.83,-0.73,49.48%,7.92%,119.17,1.14
razeRaze,Duelist,Fair / B,45.00,-1.36,48.83%,3.32%,131.07,1.19
reynaReyna,Duelist,God / S+,97.42,+1.55,49.92%,9.65%,141.68,1.34
sageSage,Sentinel,Strong / S,87.98,-0.07,50.04%,10.25%,105.38,1.13
skyeSkye,Initiator,Bad / D,29.05,+2.47,48.85%,1.67%,111.58,1.17
sovaSova,Initiator,Strong / S,64.06,-0.90,49.84%,6.22%,114.97,1.18
viperViper,Controller,Bad / D,24.91,+3.32,48.87%,1.25%,116.03,1.07
vyseVyse,Sentinel,Fair / B,39.07,-6.93,49.14%,2.57%,120.68,1.20
yoruYoru,Duelist,Fair / B,43.11,-0.30,48.79%,3.68%,119.95,1.13
