Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,39.81,-3.44,49.38%,2.07%,139.14,1.46
breachBreach,Initiator,Fair / B,41.71,+0.60,49.76%,2.67%,132.95,1.38
brimstoneBrimstone,Controller,Weak / C,32.51,+1.81,49.02%,0.97%,136.21,1.47
chamberChamber,Sentinel,Good / A,59.75,-0.24,49.99%,5.45%,151.02,1.35
cloveClove,Controller,Strong / S,90.03,+1.52,51.15%,9.82%,154.72,1.52
cypherCypher,Sentinel,Strong / S,68.23,+2.71,50.11%,7.54%,133.98,1.32
deadlockDeadlock,Sentinel,Fair / B,41.61,+0.53,50.47%,2.44%,135.59,1.30
fadeFade,Initiator,Weak / C,32.11,+2.01,49.72%,1.09%,131.42,1.34
gekkoGekko,Initiator,Good / A,60.18,-1.88,50.29%,6.31%,128.31,1.27
harborHarbor,Controller,Bad / D,26.03,+1.49,48.61%,0.67%,129.90,1.31
isoIso,Duelist,Good / A,58.26,+1.43,50.40%,4.34%,166.62,1.41
jettJett,Duelist,God / S+,97.40,+0.36,50.26%,12.10%,158.62,1.34
kayoKAY/O,Initiator,Fair / B,36.04,+2.01,48.78%,1.89%,133.46,1.45
killjoyKilljoy,Sentinel,Bad / D,32.00,+0.85,49.78%,1.20%,137.26,1.23
neonNeon,Duelist,Good / A,48.59,+1.22,49.97%,3.77%,147.00,1.27
omenOmen,Controller,Strong / S,61.22,-1.78,49.17%,6.27%,143.85,1.38
phoenixPhoenix,Duelist,Fair / B,42.51,+0.34,50.04%,1.87%,158.10,1.40
razeRaze,Duelist,Fair / B,42.10,-1.63,49.22%,2.64%,154.49,1.30
reynaReyna,Duelist,God / S+,91.40,+0.94,50.38%,10.56%,161.00,1.43
sageSage,Sentinel,Good / A,47.44,+2.54,50.15%,3.95%,125.99,1.31
skyeSkye,Initiator,Weak / C,33.22,+2.37,49.46%,1.43%,130.44,1.35
sovaSova,Initiator,Strong / S,61.44,+1.79,50.34%,5.72%,141.72,1.39
viperViper,Controller,Bad / D,26.83,-2.69,48.89%,0.26%,139.20,1.35
vyseVyse,Sentinel,Good / A,46.92,-10.63,50.11%,3.20%,140.74,1.39
yoruYoru,Duelist,Weak / C,32.69,-2.22,48.36%,1.75%,142.78,1.28
