Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Good / A,52.55,+1.32,51.29%,3.99%,144.78,1.58
breachBreach,Initiator,Fair / B,47.11,+0.51,54.59%,0.44%,142.69,1.64
brimstoneBrimstone,Controller,Bad / D,30.04,NEW,45.83%,0.03%,109.21,1.24
chamberChamber,Sentinel,Fair / B,47.62,+4.94,51.84%,2.83%,144.21,1.31
cloveClove,Controller,Strong / S,68.99,+3.54,50.43%,10.18%,159.77,1.56
cypherCypher,Sentinel,Strong / S,67.37,+7.76,50.61%,10.74%,142.12,1.35
deadlockDeadlock,Sentinel,Good / A,50.68,+4.20,52.00%,3.67%,145.36,1.37
fadeFade,Initiator,Bad / D,15.58,NEW,40.00%,0.05%,63.20,0.76
gekkoGekko,Initiator,Weak / C,41.69,-1.11,49.31%,2.00%,133.60,1.30
harborHarbor,Controller,Weak / C,35.81,NEW,48.38%,0.46%,130.48,1.24
isoIso,Duelist,Strong / S,66.39,+4.64,50.33%,9.60%,168.01,1.37
jettJett,Duelist,God / S+,91.19,+12.67,50.63%,19.16%,162.01,1.35
kayoKAY/O,Initiator,Fair / B,41.83,-1.75,47.42%,1.65%,139.72,1.60
killjoyKilljoy,Sentinel,Weak / C,39.92,-4.08,55.07%,0.16%,112.40,1.14
neonNeon,Duelist,Good / A,49.29,-0.56,52.30%,2.85%,151.77,1.36
omenOmen,Controller,Fair / B,47.70,+4.70,49.95%,3.51%,135.90,1.43
phoenixPhoenix,Duelist,Bad / D,31.80,+16.55,44.91%,0.46%,136.32,1.15
razeRaze,Duelist,Fair / B,46.95,+14.59,55.21%,0.48%,160.10,1.36
reynaReyna,Duelist,Good / A,58.52,+3.75,50.49%,6.55%,163.14,1.41
sageSage,Sentinel,Weak / C,41.22,-17.92,50.44%,0.26%,163.62,1.33
skyeSkye,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
sovaSova,Initiator,God / S+,79.52,+12.53,50.34%,14.99%,147.21,1.45
viperViper,Controller,Good / A,52.42,+0.80,59.42%,0.08%,154.48,1.63
vyseVyse,Sentinel,Fair / B,44.13,-1.89,49.51%,1.77%,147.23,1.49
yoruYoru,Duelist,Good / A,51.67,+3.38,51.34%,4.09%,151.88,1.38
