Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,34.95,+0.25,49.73%,1.13%,137.08,1.42
breachBreach,Initiator,Fair / B,40.27,-0.18,49.85%,2.53%,133.71,1.34
brimstoneBrimstone,Controller,Fair / B,40.08,+5.64,49.84%,1.92%,136.16,1.44
chamberChamber,Sentinel,Good / A,56.29,-1.13,50.01%,4.55%,149.31,1.37
cloveClove,Controller,God / S+,89.92,-0.96,51.37%,8.75%,153.94,1.49
cypherCypher,Sentinel,Strong / S,64.24,+1.25,50.34%,6.58%,133.04,1.34
deadlockDeadlock,Sentinel,Fair / B,39.58,+2.37,50.34%,2.27%,133.00,1.28
fadeFade,Initiator,Bad / D,32.61,+2.90,49.68%,1.59%,129.48,1.31
gekkoGekko,Initiator,Good / A,58.86,-2.13,50.53%,6.03%,128.17,1.26
harborHarbor,Controller,Bad / D,22.07,+1.20,48.58%,0.91%,127.75,1.27
isoIso,Duelist,Good / A,59.45,+1.50,50.39%,4.10%,162.17,1.39
jettJett,Duelist,Strong / S,78.78,-0.65,50.20%,8.20%,157.83,1.36
kayoKAY/O,Initiator,Weak / C,34.13,+3.94,48.81%,2.17%,130.54,1.41
killjoyKilljoy,Sentinel,Weak / C,34.65,-2.26,49.71%,1.99%,136.28,1.24
neonNeon,Duelist,Good / A,53.02,+1.03,50.03%,4.44%,146.08,1.29
omenOmen,Controller,Strong / S,66.23,-2.48,49.35%,6.90%,153.55,1.35
phoenixPhoenix,Duelist,Good / A,48.09,+0.18,49.99%,2.60%,155.74,1.40
razeRaze,Duelist,Fair / B,47.78,-1.14,49.58%,3.53%,151.49,1.31
reynaReyna,Duelist,God / S+,98.89,+0.59,50.63%,10.85%,162.26,1.47
sageSage,Sentinel,Strong / S,60.30,+0.31,50.13%,6.68%,123.94,1.29
skyeSkye,Initiator,Weak / C,34.11,-0.91,49.39%,2.07%,128.27,1.33
sovaSova,Initiator,Good / A,50.85,+0.79,50.06%,4.09%,138.64,1.34
viperViper,Controller,Bad / D,25.93,-0.21,49.07%,0.59%,136.36,1.31
vyseVyse,Sentinel,Fair / B,46.14,-11.25,50.08%,3.23%,136.65,1.35
yoruYoru,Duelist,Weak / C,32.80,+1.37,48.65%,2.29%,139.60,1.28
