Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,35.83,-1.55,49.81%,0.60%,140.15,1.53
breachBreach,Initiator,Weak / C,36.75,+3.28,49.61%,1.17%,139.88,1.45
brimstoneBrimstone,Controller,Fair / B,45.20,+3.96,50.99%,1.75%,137.17,1.59
chamberChamber,Sentinel,Good / A,46.26,-1.56,49.87%,3.18%,146.42,1.33
cloveClove,Controller,Strong / S,82.43,+2.65,51.05%,9.05%,151.77,1.56
cypherCypher,Sentinel,Good / A,56.53,+1.22,50.44%,5.36%,132.43,1.35
deadlockDeadlock,Sentinel,Fair / B,37.32,+3.94,50.68%,1.28%,134.42,1.33
fadeFade,Initiator,Bad / D,31.81,+0.60,48.97%,1.16%,130.04,1.35
gekkoGekko,Initiator,Weak / C,33.01,-11.41,48.55%,2.45%,123.64,1.17
harborHarbor,Controller,Bad / D,24.09,-1.54,47.89%,0.33%,129.74,1.31
isoIso,Duelist,Good / A,50.13,+2.55,50.26%,3.19%,159.41,1.37
jettJett,Duelist,God / S+,96.82,+0.51,50.23%,13.23%,153.33,1.32
kayoKAY/O,Initiator,Fair / B,40.77,-0.94,48.76%,2.90%,129.31,1.43
killjoyKilljoy,Sentinel,Strong / S,63.67,+0.82,50.09%,7.14%,138.87,1.26
neonNeon,Duelist,Fair / B,43.59,-0.91,49.83%,3.02%,141.20,1.27
omenOmen,Controller,Strong / S,62.75,+1.51,49.11%,7.05%,134.24,1.44
phoenixPhoenix,Duelist,Good / A,54.81,+2.03,50.88%,3.73%,156.61,1.42
razeRaze,Duelist,Good / A,49.89,+9.02,51.24%,2.93%,152.92,1.33
reynaReyna,Duelist,Strong / S,82.97,+0.75,50.30%,9.96%,155.94,1.41
sageSage,Sentinel,Good / A,51.26,-1.93,50.94%,4.20%,126.47,1.35
skyeSkye,Initiator,Bad / D,31.50,-2.33,48.84%,1.27%,127.75,1.35
sovaSova,Initiator,God / S+,85.28,+1.33,50.35%,10.94%,140.15,1.40
viperViper,Controller,Weak / C,31.91,+1.45,49.79%,0.46%,138.20,1.35
vyseVyse,Sentinel,Fair / B,37.17,-11.13,49.40%,1.82%,136.35,1.35
yoruYoru,Duelist,Fair / B,38.24,-2.31,49.54%,1.89%,142.24,1.31
