Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,39.96,-5.06,49.69%,0.73%,140.91,1.57
breachBreach,Initiator,Weak / C,36.06,-0.88,48.73%,0.87%,130.35,1.40
brimstoneBrimstone,Controller,Fair / B,40.99,-0.42,49.96%,0.85%,136.80,1.64
chamberChamber,Sentinel,Good / A,45.77,-2.66,49.43%,3.05%,148.67,1.32
cloveClove,Controller,Strong / S,78.71,+4.56,51.09%,10.73%,153.14,1.62
cypherCypher,Sentinel,Good / A,56.42,+2.15,50.23%,6.09%,133.59,1.35
deadlockDeadlock,Sentinel,Weak / C,39.91,+1.70,51.26%,0.81%,136.95,1.36
fadeFade,Initiator,Weak / C,37.40,+3.17,50.03%,0.63%,131.55,1.41
gekkoGekko,Initiator,Bad / D,35.76,-0.16,49.74%,0.88%,127.83,1.25
harborHarbor,Controller,Bad / D,33.00,-3.56,47.91%,0.11%,136.42,1.42
isoIso,Duelist,Good / A,48.18,+1.78,50.54%,2.53%,164.81,1.40
jettJett,Duelist,God / S+,96.23,+2.17,49.91%,17.13%,155.60,1.30
kayoKAY/O,Initiator,Good / A,44.95,+0.18,48.57%,3.08%,133.60,1.50
killjoyKilljoy,Sentinel,Strong / S,62.49,+1.37,49.90%,8.03%,141.28,1.26
neonNeon,Duelist,Fair / B,42.15,+2.28,50.10%,1.93%,145.11,1.28
omenOmen,Controller,Strong / S,60.36,-0.54,49.04%,7.22%,134.33,1.52
phoenixPhoenix,Duelist,Good / A,51.71,+1.26,50.90%,3.37%,161.48,1.44
razeRaze,Duelist,Good / A,43.78,-1.04,49.75%,2.19%,154.51,1.31
reynaReyna,Duelist,Strong / S,73.23,+1.89,50.24%,10.12%,156.37,1.39
sageSage,Sentinel,Fair / B,40.02,-1.67,50.06%,1.48%,131.69,1.37
skyeSkye,Initiator,Weak / C,36.32,-0.21,49.29%,0.74%,131.18,1.38
sovaSova,Initiator,God / S+,89.21,+2.84,50.24%,14.95%,143.32,1.43
viperViper,Controller,Bad / D,36.05,-6.54,49.38%,0.07%,145.96,1.42
vyseVyse,Sentinel,Fair / B,41.27,-5.27,50.13%,1.38%,141.02,1.42
yoruYoru,Duelist,Fair / B,40.06,+2.67,49.97%,1.00%,149.33,1.37
