Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,24.89,-7.67,48.84%,0.55%,131.54,1.36
breachBreach,Initiator,Fair / B,35.72,+4.17,49.78%,1.71%,130.64,1.30
brimstoneBrimstone,Controller,Fair / B,50.62,+5.11,50.02%,2.74%,135.15,1.45
chamberChamber,Sentinel,Fair / B,50.20,-4.40,49.77%,3.53%,142.28,1.31
cloveClove,Controller,God / S+,89.47,-1.68,51.06%,7.52%,147.64,1.46
cypherCypher,Sentinel,Strong / S,63.47,-1.45,50.27%,6.04%,128.73,1.33
deadlockDeadlock,Sentinel,Weak / C,35.66,+6.51,50.15%,1.73%,128.18,1.25
fadeFade,Initiator,Fair / B,35.90,+8.34,49.94%,2.08%,124.36,1.28
gekkoGekko,Initiator,Fair / B,43.18,-0.71,49.46%,4.92%,122.82,1.18
harborHarbor,Controller,Bad / D,13.37,-5.04,48.19%,0.73%,124.71,1.24
isoIso,Duelist,Good / A,51.44,+0.10,49.78%,3.39%,149.65,1.29
jettJett,Duelist,Strong / S,69.10,-0.77,49.97%,6.26%,149.30,1.31
kayoKAY/O,Initiator,Weak / C,33.10,+2.59,48.95%,2.45%,125.35,1.35
killjoyKilljoy,Sentinel,Good / A,61.92,-3.94,50.47%,5.26%,137.13,1.28
neonNeon,Duelist,Good / A,51.24,+2.22,49.79%,4.54%,137.27,1.24
omenOmen,Controller,Strong / S,63.40,-1.07,49.36%,6.86%,134.21,1.34
phoenixPhoenix,Duelist,Good / A,55.36,+1.91,49.91%,3.38%,150.09,1.37
razeRaze,Duelist,Good / A,58.42,+1.92,49.96%,4.39%,148.24,1.31
reynaReyna,Duelist,God / S+,98.50,+0.08,50.25%,10.35%,153.21,1.40
sageSage,Sentinel,Strong / S,65.98,-2.02,50.11%,7.67%,120.62,1.28
skyeSkye,Initiator,Weak / C,32.04,+1.49,49.30%,2.23%,123.03,1.30
sovaSova,Initiator,Good / A,61.46,-4.06,50.18%,5.40%,135.22,1.33
viperViper,Controller,Bad / D,30.65,+11.20,49.53%,0.91%,134.21,1.30
vyseVyse,Sentinel,Fair / B,39.41,-10.73,49.74%,2.53%,130.16,1.30
yoruYoru,Duelist,Weak / C,35.48,-2.12,49.09%,2.82%,134.16,1.25
