Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,37.35,-3.24,49.40%,0.80%,139.78,1.54
breachBreach,Initiator,Fair / B,38.70,+4.81,50.37%,1.29%,132.72,1.40
brimstoneBrimstone,Controller,Fair / B,42.17,+0.05,50.34%,1.28%,138.35,1.63
chamberChamber,Sentinel,Good / A,49.13,-3.46,49.70%,3.85%,148.95,1.33
cloveClove,Controller,Strong / S,81.54,+2.67,51.09%,10.00%,152.74,1.59
cypherCypher,Sentinel,Good / A,57.24,+2.70,50.39%,5.84%,133.41,1.35
deadlockDeadlock,Sentinel,Fair / B,37.91,+3.00,50.73%,0.97%,137.37,1.34
fadeFade,Initiator,Weak / C,36.46,+0.04,49.98%,0.93%,133.92,1.39
gekkoGekko,Initiator,Bad / D,34.39,-0.47,48.81%,1.68%,127.64,1.23
harborHarbor,Controller,Bad / D,28.22,-5.79,47.76%,0.15%,132.96,1.36
isoIso,Duelist,Good / A,47.23,+1.67,50.11%,2.56%,164.32,1.38
jettJett,Duelist,God / S+,96.69,-0.09,50.14%,14.80%,156.43,1.32
kayoKAY/O,Initiator,Good / A,43.37,-0.14,48.50%,3.09%,133.46,1.47
killjoyKilljoy,Sentinel,Strong / S,62.48,+1.71,50.01%,7.43%,138.82,1.25
neonNeon,Duelist,Fair / B,41.91,+1.58,49.93%,2.27%,145.08,1.28
omenOmen,Controller,Strong / S,63.28,+0.54,49.02%,7.50%,134.85,1.49
phoenixPhoenix,Duelist,Good / A,52.67,+1.65,50.70%,3.58%,160.38,1.42
razeRaze,Duelist,Good / A,46.67,+0.51,49.85%,2.95%,156.73,1.33
reynaReyna,Duelist,Strong / S,77.48,+0.81,50.14%,9.93%,157.73,1.40
sageSage,Sentinel,Fair / B,42.92,+1.41,50.51%,2.55%,127.76,1.35
skyeSkye,Initiator,Weak / C,34.47,+0.91,49.01%,1.15%,130.64,1.35
sovaSova,Initiator,God / S+,86.90,+0.03,50.45%,12.37%,143.31,1.43
viperViper,Controller,Bad / D,33.47,-2.52,49.44%,0.14%,142.98,1.42
vyseVyse,Sentinel,Fair / B,40.26,-9.10,49.79%,1.75%,139.64,1.40
yoruYoru,Duelist,Weak / C,37.08,+0.71,49.34%,1.15%,147.51,1.34
