Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,28.93,-2.66,49.20%,0.70%,140.03,1.48
breachBreach,Initiator,Fair / B,34.52,+2.41,49.95%,1.75%,134.09,1.36
brimstoneBrimstone,Controller,Fair / B,43.30,-0.75,50.24%,2.19%,138.38,1.55
chamberChamber,Sentinel,Good / A,52.63,-3.49,50.04%,4.05%,150.52,1.36
cloveClove,Controller,Strong / S,91.76,-0.37,51.03%,8.95%,153.17,1.55
cypherCypher,Sentinel,Good / A,61.52,+2.87,50.21%,5.97%,132.84,1.35
deadlockDeadlock,Sentinel,Weak / C,31.10,+0.92,50.32%,1.16%,133.93,1.31
fadeFade,Initiator,Weak / C,31.78,+1.54,50.10%,1.32%,131.39,1.36
gekkoGekko,Initiator,Fair / B,38.45,-0.14,49.68%,3.21%,126.93,1.23
harborHarbor,Controller,Bad / D,16.06,+9.22,47.86%,0.32%,132.94,1.30
isoIso,Duelist,Good / A,47.41,-0.16,49.94%,2.89%,161.40,1.37
jettJett,Duelist,God / S+,95.48,-1.04,50.14%,10.60%,158.53,1.35
kayoKAY/O,Initiator,Fair / B,37.88,-1.38,48.80%,2.83%,131.81,1.43
killjoyKilljoy,Sentinel,Strong / S,65.67,+1.41,50.15%,6.70%,139.62,1.28
neonNeon,Duelist,Fair / B,42.79,+0.61,49.78%,3.14%,144.00,1.27
omenOmen,Controller,Strong / S,69.59,+1.78,49.37%,7.32%,137.78,1.44
phoenixPhoenix,Duelist,Good / A,56.25,+2.65,50.74%,3.48%,162.54,1.45
razeRaze,Duelist,Good / A,52.11,-1.67,49.89%,3.94%,155.94,1.34
reynaReyna,Duelist,God / S+,98.28,+0.45,50.34%,10.59%,160.24,1.44
sageSage,Sentinel,Good / A,52.33,-0.56,50.08%,4.90%,126.05,1.32
skyeSkye,Initiator,Weak / C,30.01,+1.83,49.28%,1.70%,128.44,1.34
sovaSova,Initiator,Strong / S,79.60,-0.40,50.56%,8.09%,143.29,1.42
viperViper,Controller,Bad / D,24.05,-0.12,49.17%,0.40%,139.09,1.36
vyseVyse,Sentinel,Fair / B,37.22,-15.64,49.64%,2.23%,137.54,1.37
yoruYoru,Duelist,Weak / C,31.29,+2.72,49.07%,1.57%,144.30,1.32
