Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,39.49,-2.29,48.90%,0.56%,143.13,1.57
breachBreach,Initiator,Weak / C,39.23,-2.12,50.16%,0.38%,136.61,1.49
brimstoneBrimstone,Controller,Fair / B,42.95,+1.97,50.87%,0.47%,140.77,1.71
chamberChamber,Sentinel,Fair / B,42.38,-4.58,49.45%,2.06%,146.91,1.30
cloveClove,Controller,Strong / S,76.52,+2.58,51.15%,11.59%,153.81,1.65
cypherCypher,Sentinel,Good / A,54.10,+1.49,50.77%,5.65%,134.56,1.36
deadlockDeadlock,Sentinel,Fair / B,40.77,-1.92,50.62%,1.01%,139.09,1.36
fadeFade,Initiator,Bad / D,36.20,+7.26,48.83%,0.39%,131.13,1.41
gekkoGekko,Initiator,Bad / D,34.41,-1.28,48.24%,0.37%,133.95,1.28
harborHarbor,Controller,Bad / D,35.61,-1.51,48.25%,0.05%,139.43,1.45
isoIso,Duelist,Good / A,51.86,+4.57,51.45%,3.15%,169.60,1.45
jettJett,Duelist,God / S+,93.90,-0.26,50.24%,19.06%,153.94,1.29
kayoKAY/O,Initiator,Good / A,44.73,-2.49,49.14%,2.71%,132.83,1.53
killjoyKilljoy,Sentinel,Strong / S,63.44,+1.05,49.95%,9.34%,141.82,1.24
neonNeon,Duelist,Good / A,43.75,-1.54,50.74%,2.08%,143.96,1.28
omenOmen,Controller,Strong / S,56.46,-0.74,48.69%,6.94%,132.50,1.53
phoenixPhoenix,Duelist,Good / A,47.82,+0.16,50.29%,2.66%,160.51,1.43
razeRaze,Duelist,Fair / B,42.89,-1.98,50.42%,1.48%,155.35,1.31
reynaReyna,Duelist,Strong / S,68.71,-0.12,50.10%,10.20%,155.64,1.38
sageSage,Sentinel,Fair / B,42.57,+1.48,51.76%,0.78%,138.61,1.47
skyeSkye,Initiator,Weak / C,40.28,-3.14,50.96%,0.46%,136.82,1.46
sovaSova,Initiator,God / S+,86.38,-0.97,50.17%,16.40%,143.14,1.44
viperViper,Controller,Good / A,43.32,+10.91,53.42%,0.05%,146.57,1.46
vyseVyse,Sentinel,Weak / C,39.87,-5.38,49.37%,0.98%,142.40,1.43
yoruYoru,Duelist,Fair / B,42.36,-1.14,50.48%,1.20%,149.80,1.38
