Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,29.36,+7.67,49.80%,0.35%,124.42,1.33
breachBreach,Initiator,Weak / C,28.97,+4.84,49.36%,0.90%,122.56,1.25
brimstoneBrimstone,Controller,Good / A,48.55,-1.06,49.61%,3.62%,113.13,1.32
chamberChamber,Sentinel,Good / A,48.61,+0.73,49.81%,2.90%,134.53,1.28
cloveClove,Controller,Strong / S,67.78,+0.02,50.45%,4.70%,138.37,1.39
cypherCypher,Sentinel,Fair / B,48.22,-1.30,49.70%,3.40%,121.52,1.27
deadlockDeadlock,Sentinel,Fair / B,32.24,+1.41,50.21%,1.29%,118.86,1.17
fadeFade,Initiator,Weak / C,30.46,-0.40,49.09%,2.10%,110.15,1.15
gekkoGekko,Initiator,Fair / B,46.65,-1.05,49.36%,4.54%,110.20,1.07
harborHarbor,Controller,Bad / D,12.37,-3.98,47.57%,0.62%,111.20,1.09
isoIso,Duelist,Good / A,49.29,-2.02,49.46%,3.51%,134.03,1.20
jettJett,Duelist,God / S+,96.97,-0.17,50.27%,9.72%,131.99,1.25
kayoKAY/O,Initiator,Weak / C,32.12,+1.19,48.67%,2.13%,114.30,1.24
killjoyKilljoy,Sentinel,Fair / B,45.24,+1.21,50.38%,2.61%,127.43,1.20
neonNeon,Duelist,Good / A,55.96,+1.78,49.38%,5.12%,122.97,1.15
omenOmen,Controller,Good / A,54.88,+0.97,48.86%,4.97%,123.02,1.23
phoenixPhoenix,Duelist,Strong / S,81.51,-0.27,49.87%,8.42%,121.44,1.17
razeRaze,Duelist,Good / A,51.23,+0.45,49.53%,3.48%,136.79,1.25
reynaReyna,Duelist,God / S+,97.25,+0.31,49.86%,9.40%,140.76,1.33
sageSage,Sentinel,Strong / S,90.95,-0.07,50.26%,10.21%,105.09,1.15
skyeSkye,Initiator,Bad / D,28.67,+1.34,49.36%,1.58%,110.11,1.18
sovaSova,Initiator,Strong / S,74.06,-3.70,50.01%,7.15%,118.57,1.24
viperViper,Controller,Bad / D,21.13,-2.77,48.38%,1.26%,115.98,1.08
vyseVyse,Sentinel,Fair / B,36.20,-6.05,49.03%,2.46%,120.44,1.18
yoruYoru,Duelist,Fair / B,41.33,+0.92,48.70%,3.56%,120.66,1.14
