Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,34.46,-2.26,49.57%,0.77%,140.27,1.51
breachBreach,Initiator,Weak / C,34.65,-1.60,49.57%,1.52%,132.53,1.37
brimstoneBrimstone,Controller,Fair / B,40.42,+0.27,49.77%,1.76%,137.86,1.56
chamberChamber,Sentinel,Good / A,51.36,-3.08,49.93%,4.11%,150.24,1.35
cloveClove,Controller,Strong / S,86.30,+1.77,51.07%,9.49%,153.34,1.57
cypherCypher,Sentinel,Good / A,58.44,+3.71,50.44%,5.71%,133.20,1.36
deadlockDeadlock,Sentinel,Weak / C,34.11,+1.01,50.24%,1.04%,137.00,1.33
fadeFade,Initiator,Weak / C,34.22,-0.63,50.03%,1.13%,132.67,1.38
gekkoGekko,Initiator,Fair / B,36.61,+1.39,49.49%,2.53%,126.99,1.24
harborHarbor,Controller,Bad / D,22.39,-0.04,47.69%,0.21%,133.23,1.34
isoIso,Duelist,Good / A,47.30,+0.95,50.16%,2.63%,163.82,1.39
jettJett,Duelist,God / S+,97.18,-0.08,50.14%,12.72%,158.14,1.34
kayoKAY/O,Initiator,Fair / B,41.28,-0.73,48.73%,2.98%,132.90,1.45
killjoyKilljoy,Sentinel,Strong / S,64.23,+4.07,50.23%,7.03%,139.93,1.27
neonNeon,Duelist,Fair / B,41.91,+2.33,50.09%,2.58%,144.47,1.27
omenOmen,Controller,Strong / S,66.17,+0.68,49.33%,7.35%,137.01,1.47
phoenixPhoenix,Duelist,Good / A,55.07,+2.41,50.62%,3.69%,163.34,1.46
razeRaze,Duelist,Good / A,48.80,-1.41,49.79%,3.54%,156.37,1.33
reynaReyna,Duelist,God / S+,87.39,+1.91,50.34%,10.41%,159.20,1.42
sageSage,Sentinel,Good / A,46.63,-0.97,50.28%,3.76%,126.71,1.33
skyeSkye,Initiator,Bad / D,32.62,-3.26,49.21%,1.44%,129.82,1.35
sovaSova,Initiator,Strong / S,83.19,+1.52,50.42%,9.97%,144.46,1.43
viperViper,Controller,Bad / D,31.69,+2.74,49.95%,0.24%,143.64,1.41
vyseVyse,Sentinel,Fair / B,38.64,-12.13,49.68%,2.00%,138.80,1.38
yoruYoru,Duelist,Fair / B,34.94,+1.43,49.35%,1.38%,146.24,1.33
