Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,45.35,+2.27,52.13%,0.34%,158.31,1.87
breachBreach,Initiator,Fair / B,46.89,NEW,48.85%,0.34%,205.58,2.14
brimstoneBrimstone,Controller,Good / A,50.89,NEW,57.95%,0.20%,154.66,1.97
chamberChamber,Sentinel,Weak / C,42.06,+4.32,50.76%,1.25%,146.02,1.33
cloveClove,Controller,Strong / S,65.11,+5.13,51.29%,10.06%,160.48,1.65
cypherCypher,Sentinel,Good / A,47.87,-0.17,51.45%,3.38%,140.99,1.45
deadlockDeadlock,Sentinel,Fair / B,46.22,+10.60,52.11%,2.03%,145.84,1.52
fadeFade,Initiator,Bad / D,33.34,-5.33,43.02%,0.29%,146.04,1.45
gekkoGekko,Initiator,Bad / D,26.41,-32.41,42.55%,0.05%,109.53,0.86
harborHarbor,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
isoIso,Duelist,Good / A,52.40,+5.38,51.04%,4.75%,168.40,1.47
jettJett,Duelist,God / S+,85.99,+2.64,51.13%,20.40%,158.04,1.34
kayoKAY/O,Initiator,Fair / B,46.86,+1.14,48.67%,4.23%,130.65,1.51
killjoyKilljoy,Sentinel,Strong / S,63.27,+0.66,49.24%,11.66%,144.48,1.25
neonNeon,Duelist,Weak / C,41.42,-4.88,48.78%,1.83%,143.87,1.34
omenOmen,Controller,Good / A,56.54,+6.48,48.82%,8.36%,135.31,1.52
phoenixPhoenix,Duelist,Good / A,49.19,+4.52,54.18%,1.64%,170.04,1.58
razeRaze,Duelist,Good / A,51.98,+32.60,62.11%,0.21%,158.49,1.46
reynaReyna,Duelist,Strong / S,58.62,-1.37,50.83%,7.92%,160.30,1.44
sageSage,Sentinel,Fair / B,44.75,-5.88,55.17%,0.23%,137.39,1.56
skyeSkye,Initiator,Bad / D,32.84,NEW,44.00%,0.17%,131.97,1.41
sovaSova,Initiator,God / S+,80.07,+7.90,50.61%,17.74%,148.58,1.52
viperViper,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
vyseVyse,Sentinel,Weak / C,37.09,-7.25,47.40%,0.62%,140.70,1.33
yoruYoru,Duelist,Fair / B,44.83,-6.99,50.83%,2.29%,146.81,1.39
