Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,31.13,-4.11,49.54%,0.65%,138.58,1.46
breachBreach,Initiator,Fair / B,35.07,+3.09,49.87%,1.78%,134.14,1.34
brimstoneBrimstone,Controller,Fair / B,47.77,+3.42,50.27%,2.60%,138.97,1.52
chamberChamber,Sentinel,Good / A,51.68,-1.45,49.96%,3.81%,149.56,1.37
cloveClove,Controller,God / S+,89.11,-1.52,51.22%,8.36%,153.18,1.53
cypherCypher,Sentinel,Good / A,62.17,+1.40,50.29%,6.15%,132.97,1.36
deadlockDeadlock,Sentinel,Fair / B,35.07,+6.42,50.59%,1.42%,132.43,1.30
fadeFade,Initiator,Weak / C,31.95,+3.41,49.73%,1.60%,129.28,1.33
gekkoGekko,Initiator,Fair / B,40.27,-1.12,49.57%,3.90%,126.14,1.22
harborHarbor,Controller,Bad / D,15.27,-0.35,47.94%,0.49%,129.94,1.28
isoIso,Duelist,Good / A,49.82,+0.53,49.87%,3.23%,158.55,1.35
jettJett,Duelist,Strong / S,81.24,+0.60,50.24%,8.39%,158.08,1.37
kayoKAY/O,Initiator,Weak / C,35.05,+0.10,48.88%,2.58%,129.96,1.40
killjoyKilljoy,Sentinel,Strong / S,63.39,+0.17,50.46%,6.22%,139.42,1.29
neonNeon,Duelist,Fair / B,47.67,+1.97,49.97%,3.75%,143.82,1.28
omenOmen,Controller,Strong / S,66.19,+0.51,49.53%,7.07%,137.89,1.41
phoenixPhoenix,Duelist,Good / A,56.51,+1.97,50.51%,3.38%,159.49,1.44
razeRaze,Duelist,Good / A,54.49,+1.09,50.01%,4.17%,154.07,1.34
reynaReyna,Duelist,God / S+,98.61,+0.44,50.50%,10.69%,160.68,1.45
sageSage,Sentinel,Good / A,59.29,+0.41,50.31%,6.21%,124.28,1.31
skyeSkye,Initiator,Weak / C,31.44,-0.93,49.32%,1.93%,127.81,1.34
sovaSova,Initiator,Strong / S,68.84,+0.19,50.55%,6.53%,141.64,1.39
viperViper,Controller,Bad / D,25.84,-2.01,49.19%,0.64%,137.16,1.34
vyseVyse,Sentinel,Fair / B,39.18,-14.80,49.75%,2.43%,136.34,1.36
yoruYoru,Duelist,Weak / C,32.95,+0.56,49.03%,2.02%,141.41,1.30
