Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,22.66,-2.78,48.90%,0.57%,136.55,1.46
breachBreach,Initiator,Bad / D,24.21,-2.74,48.74%,1.32%,129.61,1.34
brimstoneBrimstone,Controller,Strong / S,57.10,-0.73,49.77%,4.70%,135.12,1.51
chamberChamber,Sentinel,Good / A,52.62,-6.00,49.54%,4.45%,144.77,1.32
cloveClove,Controller,God / S+,98.30,+1.15,50.70%,9.44%,150.98,1.51
cypherCypher,Sentinel,Strong / S,80.72,+5.12,50.32%,8.25%,129.40,1.32
deadlockDeadlock,Sentinel,Fair / B,38.33,+2.60,50.68%,2.35%,132.96,1.32
fadeFade,Initiator,Fair / B,36.04,+0.83,49.86%,2.45%,128.15,1.34
gekkoGekko,Initiator,Good / A,55.02,+2.93,50.64%,4.92%,125.72,1.27
harborHarbor,Controller,Bad / D,14.01,-1.93,48.31%,0.33%,127.45,1.28
isoIso,Duelist,Good / A,49.93,-0.24,50.16%,3.33%,160.16,1.37
jettJett,Duelist,Strong / S,83.78,+0.21,50.36%,8.11%,151.65,1.32
kayoKAY/O,Initiator,Weak / C,28.13,+3.90,49.34%,1.21%,134.68,1.44
killjoyKilljoy,Sentinel,Weak / C,35.71,+11.28,50.94%,1.78%,138.81,1.31
neonNeon,Duelist,Good / A,46.48,-2.04,50.33%,3.37%,144.56,1.30
omenOmen,Controller,Fair / B,45.24,+7.44,49.06%,3.66%,136.66,1.40
phoenixPhoenix,Duelist,Good / A,46.86,-0.02,50.32%,2.91%,154.88,1.40
razeRaze,Duelist,Strong / S,90.83,-3.43,50.06%,9.02%,155.93,1.34
reynaReyna,Duelist,God / S+,98.71,+2.34,50.39%,9.65%,157.95,1.43
sageSage,Sentinel,Fair / B,45.04,-12.16,48.84%,4.36%,124.14,1.27
skyeSkye,Initiator,Good / A,55.59,-0.18,49.73%,5.18%,126.29,1.33
sovaSova,Initiator,Fair / B,44.49,+7.45,50.09%,3.26%,136.61,1.35
viperViper,Controller,Weak / C,26.29,-5.46,49.77%,0.96%,138.26,1.34
vyseVyse,Sentinel,Weak / C,34.40,-10.59,50.24%,1.79%,137.07,1.37
yoruYoru,Duelist,Fair / B,39.48,+3.03,49.78%,2.63%,143.48,1.32
