Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,29.11,-5.08,48.38%,0.69%,139.52,1.51
breachBreach,Initiator,Weak / C,29.40,+0.19,48.64%,1.20%,128.58,1.36
brimstoneBrimstone,Controller,Good / A,57.55,+0.20,49.58%,5.03%,138.48,1.58
chamberChamber,Sentinel,Good / A,55.22,-6.79,49.86%,4.93%,146.75,1.32
cloveClove,Controller,God / S+,98.81,+2.83,50.89%,11.38%,153.51,1.56
cypherCypher,Sentinel,Strong / S,86.57,+4.75,50.22%,10.44%,130.57,1.32
deadlockDeadlock,Sentinel,Fair / B,38.46,+1.07,51.10%,1.86%,136.43,1.36
fadeFade,Initiator,Fair / B,38.86,+0.49,49.77%,2.30%,132.50,1.40
gekkoGekko,Initiator,Good / A,51.17,-0.90,50.37%,4.55%,127.52,1.28
harborHarbor,Controller,Bad / D,22.57,-2.55,47.98%,0.12%,134.29,1.36
isoIso,Duelist,Good / A,47.89,+2.53,50.54%,2.89%,167.67,1.42
jettJett,Duelist,Strong / S,85.65,-1.25,49.95%,9.91%,154.78,1.31
kayoKAY/O,Initiator,Bad / D,28.41,+0.67,48.53%,0.62%,135.11,1.51
killjoyKilljoy,Sentinel,Weak / C,29.78,+2.90,49.68%,1.10%,135.45,1.22
neonNeon,Duelist,Fair / B,40.45,+0.62,50.32%,2.29%,148.18,1.31
omenOmen,Controller,Fair / B,37.08,+0.34,48.58%,2.24%,135.34,1.42
phoenixPhoenix,Duelist,Good / A,41.71,+2.02,51.10%,1.78%,160.38,1.44
razeRaze,Duelist,God / S+,93.19,-2.62,49.99%,11.05%,158.71,1.33
reynaReyna,Duelist,Strong / S,83.86,-0.75,50.23%,9.28%,157.58,1.40
sageSage,Sentinel,Fair / B,35.86,+1.35,50.40%,1.83%,128.37,1.34
skyeSkye,Initiator,Strong / S,67.18,+1.25,49.77%,7.21%,129.25,1.37
sovaSova,Initiator,Good / A,46.40,+3.45,50.06%,3.31%,142.16,1.40
viperViper,Controller,Weak / C,30.84,+0.14,49.92%,0.53%,148.36,1.43
vyseVyse,Sentinel,Weak / C,34.68,-9.58,49.90%,1.37%,141.72,1.41
yoruYoru,Duelist,Fair / B,39.33,+4.72,49.92%,2.09%,150.70,1.35
