Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,26.77,-2.19,49.08%,0.55%,128.88,1.33
breachBreach,Initiator,Weak / C,34.46,-2.11,49.66%,1.67%,129.16,1.27
brimstoneBrimstone,Controller,Good / A,56.68,+4.12,50.28%,3.88%,132.32,1.41
chamberChamber,Sentinel,Fair / B,51.65,-2.88,49.69%,4.02%,140.03,1.30
cloveClove,Controller,God / S+,85.39,+1.53,51.04%,7.33%,146.25,1.43
cypherCypher,Sentinel,Strong / S,67.02,+0.37,50.37%,6.90%,126.40,1.31
deadlockDeadlock,Sentinel,Fair / B,39.05,-0.24,50.14%,2.14%,127.09,1.25
fadeFade,Initiator,Fair / B,39.80,+3.31,50.08%,2.49%,122.80,1.28
gekkoGekko,Initiator,Good / A,56.79,-4.24,50.34%,6.00%,122.92,1.20
harborHarbor,Controller,Bad / D,16.75,+1.70,48.43%,0.79%,122.48,1.22
isoIso,Duelist,Good / A,53.32,+2.82,49.85%,3.45%,149.60,1.30
jettJett,Duelist,Strong / S,60.83,+1.99,49.90%,5.10%,146.71,1.30
kayoKAY/O,Initiator,Weak / C,32.24,+7.34,49.00%,2.02%,124.62,1.33
killjoyKilljoy,Sentinel,Fair / B,45.79,-0.79,50.40%,2.93%,131.56,1.23
neonNeon,Duelist,Good / A,54.05,-1.56,49.99%,4.55%,137.96,1.25
omenOmen,Controller,Good / A,57.03,+1.71,49.30%,6.08%,132.87,1.31
phoenixPhoenix,Duelist,Good / A,53.35,-0.02,49.87%,3.23%,148.10,1.35
razeRaze,Duelist,Strong / S,65.94,-5.21,50.08%,5.65%,147.67,1.32
reynaReyna,Duelist,God / S+,99.18,-0.15,50.54%,10.39%,153.39,1.42
sageSage,Sentinel,Strong / S,66.90,-1.00,50.47%,7.67%,119.19,1.25
skyeSkye,Initiator,Fair / B,39.23,+0.13,49.52%,3.13%,122.39,1.29
sovaSova,Initiator,Fair / B,44.60,+5.88,49.90%,3.20%,130.97,1.27
viperViper,Controller,Bad / D,30.21,+1.62,49.27%,1.26%,131.03,1.27
vyseVyse,Sentinel,Weak / C,35.69,-14.29,49.32%,2.46%,128.38,1.27
yoruYoru,Duelist,Weak / C,37.29,+2.16,48.93%,3.14%,133.71,1.24
