Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,24.46,-8.10,48.42%,0.72%,137.20,1.46
breachBreach,Initiator,Weak / C,29.51,+2.40,49.15%,1.59%,129.91,1.34
brimstoneBrimstone,Controller,Good / A,59.45,+0.84,49.86%,5.03%,137.46,1.55
chamberChamber,Sentinel,Good / A,59.35,-6.49,49.66%,5.40%,146.17,1.32
cloveClove,Controller,God / S+,98.95,+2.16,50.87%,10.10%,151.85,1.53
cypherCypher,Sentinel,Strong / S,83.58,+2.58,50.14%,9.06%,129.79,1.31
deadlockDeadlock,Sentinel,Fair / B,35.07,+3.84,50.67%,1.84%,134.25,1.32
fadeFade,Initiator,Fair / B,36.63,+2.49,49.88%,2.28%,130.94,1.38
gekkoGekko,Initiator,Good / A,56.84,+2.12,50.27%,5.33%,127.37,1.27
harborHarbor,Controller,Bad / D,16.58,-6.79,47.52%,0.19%,134.63,1.34
isoIso,Duelist,Good / A,46.56,+3.82,50.58%,2.65%,166.52,1.42
jettJett,Duelist,Strong / S,87.23,-2.01,49.95%,9.11%,155.49,1.32
kayoKAY/O,Initiator,Bad / D,26.00,+2.74,48.59%,1.03%,131.35,1.45
killjoyKilljoy,Sentinel,Weak / C,30.27,+1.79,49.67%,1.77%,133.04,1.20
neonNeon,Duelist,Fair / B,40.05,+1.48,50.45%,2.44%,145.89,1.30
omenOmen,Controller,Fair / B,42.61,+2.03,48.67%,3.41%,135.52,1.39
phoenixPhoenix,Duelist,Good / A,43.41,+2.61,50.72%,2.30%,158.82,1.42
razeRaze,Duelist,God / S+,94.52,-2.93,50.06%,10.02%,158.19,1.34
reynaReyna,Duelist,Strong / S,94.31,-0.65,50.25%,9.73%,159.07,1.42
sageSage,Sentinel,Fair / B,40.80,+3.47,50.54%,2.88%,125.57,1.32
skyeSkye,Initiator,Strong / S,60.55,+1.80,50.10%,5.70%,128.86,1.36
sovaSova,Initiator,Good / A,45.74,+0.35,50.16%,3.28%,140.24,1.38
viperViper,Controller,Weak / C,28.55,+3.20,50.29%,0.58%,146.55,1.42
vyseVyse,Sentinel,Weak / C,32.64,-14.97,49.61%,1.66%,137.89,1.37
yoruYoru,Duelist,Fair / B,36.32,+2.19,49.80%,1.93%,149.40,1.36
