Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,28.62,-4.80,49.28%,0.68%,137.18,1.45
breachBreach,Initiator,Weak / C,32.20,-1.60,49.32%,1.91%,131.72,1.31
brimstoneBrimstone,Controller,Good / A,57.34,+0.86,50.22%,4.54%,137.76,1.52
chamberChamber,Sentinel,Strong / S,57.78,-4.24,49.78%,5.15%,147.64,1.35
cloveClove,Controller,God / S+,88.54,+1.03,51.02%,8.70%,152.66,1.51
cypherCypher,Sentinel,Strong / S,71.78,+2.67,50.14%,7.86%,130.35,1.33
deadlockDeadlock,Sentinel,Fair / B,38.72,+2.82,50.95%,1.83%,133.84,1.32
fadeFade,Initiator,Weak / C,35.84,-1.30,49.88%,2.12%,129.13,1.34
gekkoGekko,Initiator,Good / A,56.89,+1.22,50.44%,5.60%,127.04,1.25
harborHarbor,Controller,Bad / D,19.27,+5.26,48.71%,0.37%,127.73,1.28
isoIso,Duelist,Good / A,49.71,+2.71,50.13%,2.97%,162.71,1.39
jettJett,Duelist,Strong / S,73.64,+0.39,50.07%,7.28%,156.48,1.35
kayoKAY/O,Initiator,Bad / D,28.77,+0.51,48.47%,1.60%,130.11,1.40
killjoyKilljoy,Sentinel,Fair / B,38.43,+2.14,50.17%,2.56%,134.46,1.24
neonNeon,Duelist,Fair / B,47.00,+3.43,50.31%,3.31%,145.53,1.29
omenOmen,Controller,Good / A,52.64,+1.30,49.11%,5.02%,136.58,1.37
phoenixPhoenix,Duelist,Good / A,49.19,-0.90,50.30%,2.84%,158.25,1.41
razeRaze,Duelist,Strong / S,78.28,-2.08,50.15%,7.88%,158.47,1.36
reynaReyna,Duelist,God / S+,98.92,-0.30,50.49%,10.62%,161.43,1.46
sageSage,Sentinel,Good / A,52.92,+0.52,50.23%,5.07%,123.17,1.29
skyeSkye,Initiator,Fair / B,45.89,+2.15,49.83%,3.81%,128.48,1.34
sovaSova,Initiator,Fair / B,45.19,+1.80,50.09%,3.14%,139.36,1.35
viperViper,Controller,Weak / C,29.44,-2.07,49.67%,0.86%,138.71,1.35
vyseVyse,Sentinel,Weak / C,35.73,-13.50,49.60%,2.09%,134.91,1.34
yoruYoru,Duelist,Fair / B,37.24,+2.00,49.41%,2.16%,145.12,1.33
