Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,32.92,-4.15,48.43%,0.56%,143.49,1.56
breachBreach,Initiator,Bad / D,31.84,+4.09,48.79%,0.66%,133.25,1.47
brimstoneBrimstone,Controller,Good / A,54.98,+0.61,49.93%,4.66%,139.31,1.62
chamberChamber,Sentinel,Good / A,48.54,-6.25,49.81%,3.90%,146.40,1.31
cloveClove,Controller,God / S+,98.00,+6.18,50.61%,13.26%,153.64,1.57
cypherCypher,Sentinel,Strong / S,84.38,+8.32,50.57%,11.50%,131.25,1.32
deadlockDeadlock,Sentinel,Good / A,44.59,+3.83,51.56%,2.37%,141.43,1.41
fadeFade,Initiator,Fair / B,41.87,-1.53,50.35%,2.41%,132.27,1.41
gekkoGekko,Initiator,Good / A,45.92,-3.64,50.18%,3.75%,126.58,1.28
harborHarbor,Controller,Weak / C,34.33,+7.20,51.17%,0.08%,144.31,1.50
isoIso,Duelist,Good / A,51.17,+3.34,50.51%,3.44%,169.02,1.43
jettJett,Duelist,Strong / S,82.29,+0.42,50.54%,10.50%,156.51,1.32
kayoKAY/O,Initiator,Bad / D,31.63,-0.47,48.51%,0.30%,142.08,1.56
killjoyKilljoy,Sentinel,Bad / D,27.82,+1.32,48.30%,0.48%,137.28,1.22
neonNeon,Duelist,Fair / B,44.50,-0.49,50.95%,2.62%,148.65,1.31
omenOmen,Controller,Weak / C,32.58,-2.55,47.63%,1.18%,136.98,1.44
phoenixPhoenix,Duelist,Fair / B,37.65,-1.64,49.69%,1.20%,158.70,1.39
razeRaze,Duelist,God / S+,87.27,+2.21,49.85%,11.70%,159.40,1.33
reynaReyna,Duelist,Strong / S,76.15,+3.71,50.31%,9.05%,158.23,1.41
sageSage,Sentinel,Fair / B,35.51,-2.57,50.87%,0.92%,134.38,1.38
skyeSkye,Initiator,Strong / S,69.25,+2.73,50.14%,8.47%,126.96,1.36
sovaSova,Initiator,Good / A,45.98,+0.18,50.28%,3.15%,140.98,1.39
viperViper,Controller,Weak / C,32.38,-12.66,49.34%,0.58%,143.12,1.38
vyseVyse,Sentinel,Fair / B,34.77,-11.71,49.86%,0.97%,140.41,1.38
yoruYoru,Duelist,Fair / B,43.70,+3.53,50.71%,2.27%,152.57,1.39
