Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,25.18,-3.17,48.76%,0.33%,122.99,1.29
breachBreach,Initiator,Weak / C,30.08,+2.42,49.60%,0.92%,119.33,1.22
brimstoneBrimstone,Controller,Good / A,58.71,-0.17,49.99%,4.56%,115.12,1.35
chamberChamber,Sentinel,Fair / B,49.10,-0.34,49.43%,3.08%,133.02,1.28
cloveClove,Controller,Strong / S,66.79,+0.31,50.56%,4.58%,136.52,1.36
cypherCypher,Sentinel,Good / A,52.66,-1.75,50.08%,3.77%,119.52,1.26
deadlockDeadlock,Sentinel,Weak / C,31.49,-0.91,49.61%,1.41%,116.47,1.17
fadeFade,Initiator,Fair / B,33.96,-0.32,49.24%,2.28%,110.26,1.15
gekkoGekko,Initiator,Good / A,51.56,-0.06,49.42%,5.01%,110.35,1.09
harborHarbor,Controller,Bad / D,19.17,+4.11,48.74%,0.62%,109.87,1.10
isoIso,Duelist,Fair / B,49.73,-0.46,49.38%,3.50%,132.60,1.21
jettJett,Duelist,God / S+,89.78,+0.45,50.03%,9.14%,126.52,1.22
kayoKAY/O,Initiator,Weak / C,29.19,+0.34,48.20%,1.94%,112.13,1.21
killjoyKilljoy,Sentinel,Fair / B,37.48,+0.50,50.35%,1.87%,119.32,1.14
neonNeon,Duelist,Good / A,56.96,+0.06,49.32%,5.19%,122.19,1.15
omenOmen,Controller,Good / A,50.97,+2.61,48.86%,4.52%,120.47,1.19
phoenixPhoenix,Duelist,Strong / S,79.34,+1.01,49.83%,8.33%,117.29,1.15
razeRaze,Duelist,Strong / S,58.78,-0.55,49.79%,4.10%,139.06,1.27
reynaReyna,Duelist,God / S+,97.66,+0.21,49.90%,9.46%,140.07,1.34
sageSage,Sentinel,Strong / S,88.66,-0.66,50.17%,10.17%,102.24,1.12
skyeSkye,Initiator,Weak / C,32.63,+2.11,48.98%,2.01%,112.58,1.19
sovaSova,Initiator,Good / A,56.67,-1.64,49.50%,5.61%,108.26,1.13
viperViper,Controller,Bad / D,24.31,-1.37,48.45%,1.43%,114.92,1.08
vyseVyse,Sentinel,Fair / B,34.81,-4.72,48.79%,2.41%,117.18,1.16
yoruYoru,Duelist,Fair / B,44.35,+2.00,48.81%,3.76%,119.63,1.15
