Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,27.79,-2.14,49.37%,0.73%,137.90,1.47
breachBreach,Initiator,Weak / C,31.36,+4.04,49.28%,1.82%,132.03,1.33
brimstoneBrimstone,Controller,Good / A,58.16,+1.15,50.01%,4.79%,137.21,1.53
chamberChamber,Sentinel,Strong / S,60.41,-5.34,49.80%,5.46%,147.61,1.34
cloveClove,Controller,God / S+,94.13,-0.15,50.95%,9.30%,152.87,1.52
cypherCypher,Sentinel,Strong / S,77.35,+2.91,50.24%,8.24%,130.35,1.32
deadlockDeadlock,Sentinel,Fair / B,36.16,+4.51,50.70%,1.83%,134.91,1.33
fadeFade,Initiator,Fair / B,36.42,+2.17,50.01%,2.18%,130.78,1.36
gekkoGekko,Initiator,Good / A,57.10,-1.53,50.21%,5.50%,127.32,1.26
harborHarbor,Controller,Bad / D,13.88,-6.85,47.52%,0.25%,128.31,1.28
isoIso,Duelist,Good / A,47.68,+2.77,50.39%,2.74%,164.32,1.40
jettJett,Duelist,Strong / S,81.52,-2.02,49.95%,8.33%,155.76,1.33
kayoKAY/O,Initiator,Bad / D,27.64,+3.11,48.45%,1.41%,130.93,1.42
killjoyKilljoy,Sentinel,Weak / C,34.17,+3.03,49.86%,2.22%,133.65,1.22
neonNeon,Duelist,Fair / B,42.74,+1.79,50.20%,2.80%,146.93,1.30
omenOmen,Controller,Good / A,49.41,+2.91,49.05%,4.32%,136.47,1.39
phoenixPhoenix,Duelist,Fair / B,46.69,+4.00,50.50%,2.62%,159.51,1.42
razeRaze,Duelist,Strong / S,87.01,-4.33,50.16%,8.90%,159.00,1.35
reynaReyna,Duelist,God / S+,98.55,+0.48,50.35%,10.25%,160.69,1.44
sageSage,Sentinel,Good / A,47.58,+2.14,50.31%,3.96%,125.30,1.31
skyeSkye,Initiator,Good / A,51.48,+1.69,49.88%,4.50%,129.56,1.36
sovaSova,Initiator,Fair / B,45.39,+0.51,50.19%,3.18%,139.92,1.37
viperViper,Controller,Weak / C,28.55,-2.39,49.88%,0.74%,141.53,1.39
vyseVyse,Sentinel,Weak / C,33.98,-14.70,49.56%,1.91%,136.70,1.35
yoruYoru,Duelist,Fair / B,34.84,+2.25,49.17%,1.99%,147.07,1.33
