Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,36.95,+0.59,49.26%,0.23%,146.33,1.66
breachBreach,Initiator,Bad / D,29.36,-15.64,44.77%,0.19%,131.01,1.46
brimstoneBrimstone,Controller,Good / A,51.90,-2.58,47.92%,5.37%,141.18,1.59
chamberChamber,Sentinel,Fair / B,44.43,-5.50,47.82%,3.66%,147.46,1.29
cloveClove,Controller,God / S+,77.81,+2.98,49.22%,12.24%,159.51,1.59
cypherCypher,Sentinel,Strong / S,65.02,+9.17,50.56%,9.03%,136.38,1.35
deadlockDeadlock,Sentinel,Good / A,56.03,+3.56,50.98%,5.95%,140.82,1.43
fadeFade,Initiator,Fair / B,46.59,+2.39,49.58%,3.71%,135.97,1.43
gekkoGekko,Initiator,Fair / B,48.73,+9.81,53.89%,2.79%,135.11,1.51
harborHarbor,Controller,Bad / D,26.98,NEW,45.83%,0.03%,118.50,1.17
isoIso,Duelist,Good / A,53.96,-5.95,49.69%,5.05%,171.12,1.44
jettJett,Duelist,Strong / S,63.92,+4.16,52.97%,7.43%,157.43,1.35
kayoKAY/O,Initiator,Fair / B,46.15,+8.27,55.48%,0.17%,177.36,1.69
killjoyKilljoy,Sentinel,Good / A,55.00,+25.37,59.89%,0.20%,191.31,2.10
neonNeon,Duelist,Good / A,49.04,-7.29,51.35%,3.22%,160.89,1.46
omenOmen,Controller,Weak / C,40.67,+13.97,50.43%,0.65%,156.87,1.69
phoenixPhoenix,Duelist,Fair / B,42.62,NEW,50.61%,0.91%,175.61,1.61
razeRaze,Duelist,God / S+,88.23,+3.74,50.46%,15.20%,166.94,1.38
reynaReyna,Duelist,Strong / S,63.09,+5.69,51.14%,7.17%,169.85,1.51
sageSage,Sentinel,Bad / D,18.89,-38.69,36.27%,0.45%,135.76,1.11
skyeSkye,Initiator,Strong / S,62.19,-0.66,49.63%,8.49%,132.09,1.40
sovaSova,Initiator,Weak / C,41.77,+15.17,50.66%,1.34%,150.90,1.54
viperViper,Controller,Weak / C,41.10,-6.76,50.87%,1.66%,142.67,1.35
vyseVyse,Sentinel,Fair / B,48.31,+6.35,55.94%,0.91%,162.99,1.73
yoruYoru,Duelist,Good / A,51.26,+2.27,52.04%,3.97%,151.55,1.41
