Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,27.32,-4.24,48.99%,0.61%,135.01,1.41
breachBreach,Initiator,Weak / C,31.98,+0.36,49.31%,1.87%,131.56,1.29
brimstoneBrimstone,Controller,Good / A,56.05,+1.05,50.12%,4.34%,136.80,1.48
chamberChamber,Sentinel,Good / A,55.34,-1.57,49.89%,4.56%,146.70,1.36
cloveClove,Controller,God / S+,85.72,+1.10,51.05%,8.11%,151.96,1.49
cypherCypher,Sentinel,Strong / S,69.62,+1.83,50.49%,7.44%,130.00,1.34
deadlockDeadlock,Sentinel,Fair / B,38.03,+1.60,50.42%,1.94%,131.29,1.30
fadeFade,Initiator,Weak / C,37.07,-1.33,49.85%,2.24%,128.68,1.33
gekkoGekko,Initiator,Good / A,56.79,+0.45,50.56%,5.62%,127.14,1.25
harborHarbor,Controller,Bad / D,19.74,+2.30,48.55%,0.55%,128.03,1.29
isoIso,Duelist,Good / A,54.26,+4.32,50.40%,3.28%,158.92,1.37
jettJett,Duelist,Strong / S,67.38,+1.49,50.06%,6.23%,155.26,1.35
kayoKAY/O,Initiator,Bad / D,30.89,+1.68,48.87%,1.79%,128.41,1.38
killjoyKilljoy,Sentinel,Fair / B,40.78,-1.65,50.15%,2.84%,133.65,1.24
neonNeon,Duelist,Fair / B,50.07,+1.37,50.04%,3.89%,144.43,1.29
omenOmen,Controller,Good / A,54.77,-0.61,49.18%,5.57%,136.85,1.36
phoenixPhoenix,Duelist,Good / A,52.40,+1.20,50.23%,3.00%,156.80,1.41
razeRaze,Duelist,Strong / S,70.73,-0.84,50.10%,6.72%,156.16,1.36
reynaReyna,Duelist,God / S+,98.95,-0.49,50.37%,10.85%,161.19,1.47
sageSage,Sentinel,Strong / S,58.50,-1.10,50.15%,6.31%,122.98,1.29
skyeSkye,Initiator,Fair / B,42.26,+0.92,49.75%,3.38%,126.74,1.33
sovaSova,Initiator,Fair / B,45.56,+2.33,50.17%,3.11%,136.84,1.33
viperViper,Controller,Weak / C,31.41,+0.81,49.75%,1.01%,135.41,1.33
vyseVyse,Sentinel,Fair / B,37.40,-11.05,49.67%,2.29%,133.16,1.32
yoruYoru,Duelist,Weak / C,36.97,+0.07,49.15%,2.44%,141.22,1.30
