Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,35.44,+2.99,49.45%,0.76%,141.53,1.49
breachBreach,Initiator,Bad / D,32.80,-3.90,48.64%,0.87%,136.31,1.42
brimstoneBrimstone,Controller,Good / A,50.99,+18.83,54.11%,1.24%,146.49,1.87
chamberChamber,Sentinel,Strong / S,66.89,-7.12,52.10%,7.35%,157.39,1.57
cloveClove,Controller,Good / A,52.46,-5.32,50.02%,4.55%,154.84,1.57
cypherCypher,Sentinel,Fair / B,48.20,-1.03,50.55%,4.08%,135.09,1.45
deadlockDeadlock,Sentinel,Good / A,55.33,+18.49,56.56%,1.16%,131.43,2.02
fadeFade,Initiator,Weak / C,36.30,+7.33,50.91%,1.22%,122.71,1.35
gekkoGekko,Initiator,Fair / B,41.53,+1.82,49.75%,3.46%,125.82,1.28
harborHarbor,Controller,Weak / C,39.27,+4.23,49.23%,2.38%,136.34,1.41
isoIso,Duelist,Strong / S,56.89,+6.94,51.15%,4.63%,168.79,1.59
jettJett,Duelist,God / S+,93.00,-2.74,52.30%,14.58%,159.89,1.55
kayoKAY/O,Initiator,Weak / C,36.83,-0.27,48.41%,2.14%,132.37,1.46
killjoyKilljoy,Sentinel,Bad / D,33.47,-0.08,49.98%,1.13%,127.46,1.23
neonNeon,Duelist,Strong / S,62.07,+4.02,52.54%,6.37%,150.37,1.44
omenOmen,Controller,Fair / B,39.97,-2.62,48.43%,3.24%,135.16,1.35
phoenixPhoenix,Duelist,Fair / B,45.68,+1.10,50.25%,2.89%,154.83,1.43
razeRaze,Duelist,Fair / B,42.03,-11.57,49.24%,3.05%,143.24,1.36
reynaReyna,Duelist,God / S+,79.74,-4.45,51.49%,11.16%,160.88,1.59
sageSage,Sentinel,Good / A,51.08,-7.01,50.61%,5.47%,127.37,1.33
skyeSkye,Initiator,Weak / C,38.33,+1.09,50.41%,1.76%,127.20,1.41
sovaSova,Initiator,Strong / S,58.00,+0.94,51.95%,5.69%,140.28,1.51
viperViper,Controller,Good / A,56.62,-8.75,51.10%,5.64%,145.93,1.49
vyseVyse,Sentinel,Fair / B,44.43,-7.02,50.54%,2.99%,139.79,1.40
yoruYoru,Duelist,Good / A,52.64,-5.90,51.68%,4.43%,144.06,1.43
