Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,43.90,+4.00,52.34%,0.73%,155.36,1.61
breachBreach,Initiator,Bad / D,34.20,-7.90,48.65%,0.43%,129.25,1.41
brimstoneBrimstone,Controller,Fair / B,43.90,+6.09,52.81%,0.35%,150.00,1.70
chamberChamber,Sentinel,Strong / S,65.61,-9.79,51.54%,8.54%,167.55,1.68
cloveClove,Controller,Good / A,55.22,+4.03,53.13%,3.80%,169.69,1.69
cypherCypher,Sentinel,Good / A,51.12,+5.11,52.13%,3.64%,152.26,1.60
deadlockDeadlock,Sentinel,Weak / C,40.22,+1.36,50.42%,0.78%,153.88,1.48
fadeFade,Initiator,Bad / D,32.29,+2.27,47.64%,0.59%,125.08,1.34
gekkoGekko,Initiator,Bad / D,36.59,-5.54,48.15%,1.93%,127.30,1.32
harborHarbor,Controller,Fair / B,44.14,-0.05,50.58%,2.09%,147.40,1.56
isoIso,Duelist,Strong / S,58.59,+1.52,52.09%,5.20%,180.69,1.69
jettJett,Duelist,God / S+,99.00,+1.60,52.50%,20.20%,176.15,1.67
kayoKAY/O,Initiator,Weak / C,40.65,-1.96,48.33%,1.74%,147.34,1.61
killjoyKilljoy,Sentinel,Weak / C,37.43,-5.57,50.51%,0.53%,138.53,1.38
neonNeon,Duelist,Strong / S,57.83,-0.89,50.79%,6.78%,160.54,1.52
omenOmen,Controller,Weak / C,37.76,-5.24,47.96%,1.50%,142.09,1.46
phoenixPhoenix,Duelist,Fair / B,41.07,+3.88,49.65%,1.47%,155.92,1.46
razeRaze,Duelist,Fair / B,43.37,+2.73,50.93%,1.90%,151.05,1.45
reynaReyna,Duelist,God / S+,78.61,+0.27,52.30%,12.68%,173.78,1.71
sageSage,Sentinel,Good / A,48.16,+3.28,52.21%,3.73%,129.51,1.45
skyeSkye,Initiator,Fair / B,41.29,+1.64,51.27%,1.24%,136.24,1.50
sovaSova,Initiator,Good / A,56.69,-1.63,50.79%,6.41%,151.57,1.59
viperViper,Controller,Strong / S,62.31,-1.82,52.33%,7.17%,160.28,1.68
vyseVyse,Sentinel,Good / A,47.14,-2.45,52.84%,2.15%,147.50,1.54
yoruYoru,Duelist,Good / A,52.92,+5.09,50.83%,4.41%,165.87,1.62
