Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,23.56,-4.78,48.38%,0.71%,124.43,1.30
breachBreach,Initiator,Bad / D,27.99,+6.33,48.89%,1.39%,120.19,1.27
brimstoneBrimstone,Controller,Fair / B,38.34,+4.40,49.54%,1.89%,123.53,1.32
chamberChamber,Sentinel,Strong / S,63.48,-7.01,49.55%,5.66%,137.17,1.35
cloveClove,Controller,God / S+,81.25,-4.75,50.99%,6.21%,141.45,1.44
cypherCypher,Sentinel,Good / A,58.04,-4.29,50.16%,4.91%,122.76,1.33
deadlockDeadlock,Sentinel,Weak / C,33.90,-8.87,49.52%,1.77%,122.50,1.23
fadeFade,Initiator,Weak / C,36.30,+5.08,49.68%,2.07%,118.57,1.26
gekkoGekko,Initiator,Good / A,52.06,-1.90,50.02%,5.04%,118.32,1.21
harborHarbor,Controller,Bad / D,28.01,+9.08,48.85%,1.97%,117.90,1.22
isoIso,Duelist,Good / A,61.58,+1.41,49.99%,4.17%,144.59,1.35
jettJett,Duelist,Strong / S,69.72,-1.44,49.74%,6.50%,139.89,1.34
kayoKAY/O,Initiator,Weak / C,32.67,-3.10,48.60%,2.49%,119.10,1.31
killjoyKilljoy,Sentinel,Fair / B,43.25,+5.93,50.31%,2.17%,126.58,1.24
neonNeon,Duelist,Strong / S,67.97,-1.74,50.08%,6.37%,133.42,1.30
omenOmen,Controller,Good / A,52.28,+7.11,49.04%,5.31%,127.47,1.29
phoenixPhoenix,Duelist,Good / A,51.39,+3.29,50.04%,2.90%,134.67,1.33
razeRaze,Duelist,Good / A,51.42,+0.95,49.40%,4.40%,132.86,1.26
reynaReyna,Duelist,God / S+,99.25,+0.83,50.44%,10.22%,144.87,1.44
sageSage,Sentinel,Strong / S,61.59,-1.34,50.02%,7.01%,113.42,1.25
skyeSkye,Initiator,Weak / C,34.39,+1.03,49.21%,2.51%,115.71,1.27
sovaSova,Initiator,Fair / B,45.35,+0.16,49.72%,3.70%,121.62,1.25
viperViper,Controller,Fair / B,47.42,+4.63,49.76%,3.39%,127.06,1.28
vyseVyse,Sentinel,Fair / B,40.34,-14.37,49.26%,2.91%,124.31,1.28
yoruYoru,Duelist,Fair / B,48.46,+3.35,49.16%,4.32%,128.59,1.28
