Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,37.33,-6.01,49.19%,0.89%,141.60,1.55
breachBreach,Initiator,Weak / C,38.93,-0.96,51.59%,0.66%,135.82,1.43
brimstoneBrimstone,Controller,Bad / D,30.18,+3.08,47.46%,0.50%,132.73,1.42
chamberChamber,Sentinel,Strong / S,71.18,-4.52,50.86%,8.89%,161.90,1.60
cloveClove,Controller,Good / A,55.47,-0.93,51.52%,3.91%,160.59,1.65
cypherCypher,Sentinel,Good / A,52.27,+3.33,51.26%,4.07%,143.13,1.54
deadlockDeadlock,Sentinel,Fair / B,39.54,+2.75,51.26%,0.87%,140.16,1.43
fadeFade,Initiator,Bad / D,36.69,+0.96,50.20%,0.78%,136.05,1.42
gekkoGekko,Initiator,Fair / B,41.97,+1.87,50.13%,2.61%,134.20,1.36
harborHarbor,Controller,Fair / B,41.55,-0.23,49.31%,2.36%,139.48,1.48
isoIso,Duelist,Good / A,58.57,-0.75,51.44%,4.81%,169.17,1.58
jettJett,Duelist,God / S+,99.09,+1.55,51.29%,16.55%,167.17,1.59
kayoKAY/O,Initiator,Weak / C,39.31,+1.44,47.86%,2.10%,140.73,1.58
killjoyKilljoy,Sentinel,Bad / D,33.12,+0.96,49.64%,0.62%,136.36,1.25
neonNeon,Duelist,Strong / S,61.21,+1.03,51.55%,6.22%,156.82,1.49
omenOmen,Controller,Weak / C,37.95,-0.95,48.35%,2.24%,136.74,1.38
phoenixPhoenix,Duelist,Good / A,47.41,+2.00,51.74%,1.88%,159.40,1.54
razeRaze,Duelist,Fair / B,40.25,-4.22,48.53%,2.39%,149.23,1.39
reynaReyna,Duelist,God / S+,82.90,+1.24,51.57%,11.66%,164.77,1.64
sageSage,Sentinel,Good / A,45.94,-0.35,49.94%,4.12%,124.87,1.37
skyeSkye,Initiator,Fair / B,40.01,+3.58,49.74%,1.57%,140.63,1.50
sovaSova,Initiator,Strong / S,58.67,-0.75,50.06%,6.57%,145.19,1.51
viperViper,Controller,Strong / S,64.79,+4.16,51.37%,7.12%,153.28,1.59
vyseVyse,Sentinel,Fair / B,45.19,-9.14,50.47%,2.59%,145.84,1.47
yoruYoru,Duelist,Good / A,50.46,+0.86,50.47%,4.01%,147.46,1.49
