Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,26.50,-1.62,47.89%,0.87%,136.51,1.44
breachBreach,Initiator,Bad / D,30.74,+0.98,49.48%,1.08%,130.20,1.37
brimstoneBrimstone,Controller,Weak / C,32.03,-5.41,49.11%,1.17%,134.71,1.44
chamberChamber,Sentinel,Strong / S,76.68,-4.25,50.46%,8.02%,151.11,1.50
cloveClove,Controller,Strong / S,70.58,+4.63,52.05%,5.35%,155.89,1.59
cypherCypher,Sentinel,Good / A,51.30,-0.30,50.09%,4.37%,132.70,1.42
deadlockDeadlock,Sentinel,Bad / D,30.27,-3.43,49.61%,1.12%,128.80,1.33
fadeFade,Initiator,Weak / C,34.90,+9.91,50.49%,1.25%,127.81,1.39
gekkoGekko,Initiator,Fair / B,45.22,+1.01,50.18%,3.74%,127.16,1.31
harborHarbor,Controller,Fair / B,37.53,-0.21,49.48%,2.36%,131.31,1.37
isoIso,Duelist,Strong / S,60.07,+0.83,50.80%,4.32%,159.60,1.50
jettJett,Duelist,God / S+,96.57,+2.18,50.84%,11.29%,157.92,1.51
kayoKAY/O,Initiator,Fair / B,37.08,+0.87,49.21%,2.32%,128.35,1.43
killjoyKilljoy,Sentinel,Weak / C,32.69,+3.58,50.10%,1.26%,132.51,1.29
neonNeon,Duelist,Strong / S,66.10,+2.20,50.89%,6.35%,143.75,1.40
omenOmen,Controller,Good / A,47.00,+1.50,49.72%,3.72%,136.46,1.40
phoenixPhoenix,Duelist,Fair / B,45.29,-0.99,50.29%,2.42%,148.85,1.45
razeRaze,Duelist,Fair / B,46.07,+1.22,49.56%,3.53%,143.31,1.36
reynaReyna,Duelist,God / S+,98.76,-0.77,51.16%,11.24%,158.33,1.58
sageSage,Sentinel,Good / A,51.89,+2.32,50.18%,5.31%,118.87,1.31
skyeSkye,Initiator,Weak / C,33.55,-2.90,49.32%,1.96%,124.88,1.36
sovaSova,Initiator,Good / A,54.39,+2.20,50.33%,4.89%,132.84,1.39
viperViper,Controller,Good / A,58.82,-0.98,50.44%,5.20%,140.20,1.45
vyseVyse,Sentinel,Fair / B,37.67,-14.91,48.74%,2.85%,133.40,1.35
yoruYoru,Duelist,Good / A,48.29,+2.34,49.46%,4.00%,140.60,1.40
