Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,45.39,+10.12,51.54%,0.82%,181.25,1.90
breachBreach,Initiator,Weak / C,37.06,-7.68,43.96%,0.38%,193.08,1.88
brimstoneBrimstone,Controller,Good / A,50.76,NEW,59.50%,0.15%,163.40,1.86
chamberChamber,Sentinel,Strong / S,63.96,-1.63,54.79%,8.11%,176.12,1.77
cloveClove,Controller,Good / A,55.06,+7.67,55.73%,2.89%,185.99,1.93
cypherCypher,Sentinel,Fair / B,45.09,-3.57,49.96%,3.37%,149.31,1.61
deadlockDeadlock,Sentinel,Good / A,54.48,+7.12,59.77%,0.67%,187.98,1.93
fadeFade,Initiator,Fair / B,44.47,+13.08,58.97%,0.42%,110.80,1.52
gekkoGekko,Initiator,Weak / C,37.44,+7.18,48.58%,1.87%,137.62,1.34
harborHarbor,Controller,Good / A,48.22,+11.13,54.36%,2.64%,152.36,1.60
isoIso,Duelist,Strong / S,62.55,+9.41,56.41%,5.68%,190.18,1.95
jettJett,Duelist,God / S+,93.18,+1.65,53.04%,21.85%,179.95,1.74
kayoKAY/O,Initiator,Weak / C,39.45,-0.70,46.95%,1.78%,155.97,1.70
killjoyKilljoy,Sentinel,Bad / D,31.04,NEW,50.27%,0.23%,104.58,1.05
neonNeon,Duelist,Good / A,57.78,+2.20,53.07%,6.80%,173.19,1.60
omenOmen,Controller,Bad / D,33.77,-10.13,45.38%,1.31%,148.85,1.36
phoenixPhoenix,Duelist,Fair / B,44.12,+1.22,51.81%,1.26%,167.88,1.68
razeRaze,Duelist,Weak / C,39.52,-13.31,46.72%,2.27%,159.03,1.56
reynaReyna,Duelist,God / S+,71.67,+0.49,52.97%,12.51%,173.01,1.76
sageSage,Sentinel,Bad / D,35.98,-5.58,46.72%,2.73%,123.63,1.29
skyeSkye,Initiator,Fair / B,46.57,-0.08,55.13%,1.12%,144.89,1.81
sovaSova,Initiator,Strong / S,58.27,-3.04,54.65%,6.01%,162.44,1.79
viperViper,Controller,Strong / S,60.18,-0.09,52.02%,8.35%,163.63,1.70
vyseVyse,Sentinel,Fair / B,43.37,-6.57,51.35%,1.31%,163.23,1.67
yoruYoru,Duelist,Good / A,50.61,-0.70,49.99%,5.46%,164.32,1.57
