Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,23.81,+5.56,48.83%,0.31%,119.31,1.21
breachBreach,Initiator,Weak / C,27.14,-2.14,49.12%,0.80%,116.38,1.19
brimstoneBrimstone,Controller,Fair / B,42.78,-0.68,49.34%,3.45%,106.62,1.19
chamberChamber,Sentinel,Good / A,54.79,-0.87,50.01%,3.39%,133.66,1.30
cloveClove,Controller,Good / A,63.92,+1.41,50.65%,4.34%,133.64,1.32
cypherCypher,Sentinel,Fair / B,45.99,+0.18,49.86%,3.08%,116.91,1.23
deadlockDeadlock,Sentinel,Weak / C,27.63,+1.04,48.96%,1.27%,115.48,1.13
fadeFade,Initiator,Weak / C,33.06,-1.96,49.37%,2.09%,108.75,1.13
gekkoGekko,Initiator,Good / A,53.74,-2.49,49.94%,5.08%,109.49,1.07
harborHarbor,Controller,Bad / D,23.29,+2.00,48.78%,0.92%,111.63,1.11
isoIso,Duelist,Good / A,55.08,-0.63,50.08%,3.79%,131.97,1.22
jettJett,Duelist,God / S+,98.00,-0.04,50.51%,10.04%,128.94,1.26
kayoKAY/O,Initiator,Fair / B,34.08,+3.96,49.13%,2.09%,110.38,1.19
killjoyKilljoy,Sentinel,Weak / C,31.75,+0.90,49.71%,1.57%,116.40,1.08
neonNeon,Duelist,Strong / S,65.59,+1.21,50.21%,5.74%,124.26,1.18
omenOmen,Controller,Good / A,48.23,+0.50,48.95%,4.30%,117.46,1.14
phoenixPhoenix,Duelist,Strong / S,78.53,+1.06,49.81%,8.56%,115.24,1.12
razeRaze,Duelist,Fair / B,44.34,-0.28,49.40%,3.04%,124.81,1.17
reynaReyna,Duelist,God / S+,95.05,+1.75,50.32%,9.10%,136.94,1.33
sageSage,Sentinel,Strong / S,88.65,-1.17,50.34%,10.39%,101.72,1.09
skyeSkye,Initiator,Bad / D,26.93,+0.73,48.89%,1.59%,106.40,1.12
sovaSova,Initiator,Strong / S,66.61,-0.15,50.18%,6.61%,110.25,1.14
viperViper,Controller,Fair / B,35.48,-3.43,49.37%,2.05%,117.92,1.14
vyseVyse,Sentinel,Fair / B,37.59,-7.04,49.33%,2.47%,116.10,1.14
yoruYoru,Duelist,Good / A,47.96,+0.57,49.29%,3.91%,119.21,1.16
