Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,36.10,-4.19,49.07%,0.96%,144.56,1.53
breachBreach,Initiator,Bad / D,31.70,-7.69,48.46%,0.89%,136.32,1.43
brimstoneBrimstone,Controller,Weak / C,34.43,+8.17,49.36%,0.87%,134.04,1.49
chamberChamber,Sentinel,Strong / S,75.30,-6.41,51.11%,8.74%,155.70,1.55
cloveClove,Controller,Strong / S,61.73,+1.51,52.11%,4.64%,156.69,1.62
cypherCypher,Sentinel,Good / A,51.95,+0.38,50.83%,4.28%,135.68,1.46
deadlockDeadlock,Sentinel,Bad / D,34.30,-1.08,49.73%,1.09%,133.52,1.36
fadeFade,Initiator,Weak / C,36.69,+7.13,50.61%,0.99%,131.69,1.43
gekkoGekko,Initiator,Fair / B,44.19,+1.78,50.66%,3.16%,128.92,1.34
harborHarbor,Controller,Fair / B,40.44,+2.16,49.42%,2.46%,136.74,1.41
isoIso,Duelist,Good / A,59.22,+2.18,51.40%,4.34%,165.36,1.57
jettJett,Duelist,God / S+,98.68,+0.16,51.43%,13.95%,162.31,1.56
kayoKAY/O,Initiator,Weak / C,37.40,-1.94,48.58%,2.11%,133.44,1.48
killjoyKilljoy,Sentinel,Bad / D,31.96,-2.28,49.43%,0.93%,134.74,1.28
neonNeon,Duelist,Strong / S,62.15,-1.29,51.11%,6.21%,148.80,1.44
omenOmen,Controller,Fair / B,40.59,+2.62,48.66%,2.96%,138.17,1.39
phoenixPhoenix,Duelist,Good / A,46.87,+3.65,51.14%,2.08%,153.18,1.52
razeRaze,Duelist,Fair / B,44.67,+4.90,49.95%,2.98%,145.54,1.38
reynaReyna,Duelist,God / S+,88.25,-0.48,51.11%,11.37%,163.00,1.63
sageSage,Sentinel,Good / A,46.70,-0.91,49.75%,4.59%,121.43,1.33
skyeSkye,Initiator,Fair / B,37.83,+2.33,50.06%,1.80%,128.68,1.39
sovaSova,Initiator,Good / A,54.39,-1.16,49.85%,5.52%,137.45,1.42
viperViper,Controller,Strong / S,62.65,+0.19,51.09%,6.31%,144.18,1.49
vyseVyse,Sentinel,Fair / B,43.25,-10.70,50.04%,2.74%,137.38,1.42
yoruYoru,Duelist,Good / A,48.56,+0.97,49.44%,4.05%,145.11,1.43
