Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
breachBreach,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
brimstoneBrimstone,Controller,Strong / S,57.36,NEW,81.25%,1.19%,242.81,5.00
chamberChamber,Sentinel,Good / A,52.56,-6.38,60.38%,7.90%,187.82,1.95
cloveClove,Controller,Bad / D,33.30,NEW,32.41%,4.03%,140.31,1.37
cypherCypher,Sentinel,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
deadlockDeadlock,Sentinel,Strong / S,61.57,NEW,100.00%,1.45%,72.69,7.00
fadeFade,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
gekkoGekko,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
harborHarbor,Controller,Bad / D,39.48,NEW,43.59%,4.36%,164.50,1.62
isoIso,Duelist,Weak / C,44.83,+37.73,47.79%,5.07%,223.69,1.98
jettJett,Duelist,God / S+,72.42,-3.85,61.15%,22.06%,176.77,1.83
kayoKAY/O,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
killjoyKilljoy,Sentinel,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
neonNeon,Duelist,Good / A,51.14,+18.62,64.20%,6.56%,170.47,1.63
omenOmen,Controller,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
phoenixPhoenix,Duelist,Weak / C,40.66,NEW,48.00%,2.80%,215.68,1.41
razeRaze,Duelist,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
reynaReyna,Duelist,Good / A,53.35,+10.52,52.51%,11.14%,180.58,1.66
sageSage,Sentinel,Fair / B,46.92,-12.98,56.52%,5.14%,196.04,1.58
skyeSkye,Initiator,Not Placed,0.00,NEW,0.00%,0.00%,0.00,0.00
sovaSova,Initiator,Good / A,52.27,NEW,62.56%,7.27%,172.94,2.17
viperViper,Controller,Fair / B,47.32,-14.62,53.26%,6.86%,172.21,1.71
vyseVyse,Sentinel,Fair / B,46.58,NEW,53.55%,6.82%,160.84,1.41
yoruYoru,Duelist,Fair / B,50.24,-20.99,67.11%,5.67%,150.43,1.58
