Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,25.21,+2.42,48.36%,0.83%,129.19,1.37
breachBreach,Initiator,Bad / D,29.87,-1.11,48.95%,1.28%,129.27,1.35
brimstoneBrimstone,Controller,Bad / D,31.36,+2.74,48.65%,1.57%,130.59,1.39
chamberChamber,Sentinel,Strong / S,71.90,-4.40,50.16%,6.85%,145.47,1.45
cloveClove,Controller,Strong / S,75.83,-0.55,51.56%,5.79%,149.31,1.53
cypherCypher,Sentinel,Good / A,55.75,-1.43,50.09%,4.94%,127.99,1.39
deadlockDeadlock,Sentinel,Weak / C,32.65,+3.42,49.76%,1.38%,127.86,1.30
fadeFade,Initiator,Fair / B,36.03,+1.55,50.35%,1.54%,122.92,1.33
gekkoGekko,Initiator,Good / A,49.19,+2.45,50.33%,4.24%,123.55,1.27
harborHarbor,Controller,Weak / C,32.01,-0.79,48.74%,2.26%,125.71,1.29
isoIso,Duelist,Strong / S,60.94,+2.83,50.40%,4.27%,153.88,1.43
jettJett,Duelist,God / S+,83.51,+0.02,50.21%,8.81%,149.90,1.44
kayoKAY/O,Initiator,Weak / C,34.04,-3.90,48.59%,2.49%,123.63,1.38
killjoyKilljoy,Sentinel,Weak / C,35.04,+5.89,49.89%,1.76%,129.93,1.26
neonNeon,Duelist,Strong / S,70.10,+5.35,50.91%,6.28%,142.09,1.39
omenOmen,Controller,Good / A,51.24,+5.25,49.40%,4.54%,134.02,1.37
phoenixPhoenix,Duelist,Fair / B,45.98,-1.69,49.75%,2.69%,142.67,1.41
razeRaze,Duelist,Good / A,48.06,+0.50,49.39%,3.88%,140.13,1.32
reynaReyna,Duelist,God / S+,99.18,-0.11,50.98%,10.51%,152.62,1.53
sageSage,Sentinel,Good / A,56.09,-2.34,49.85%,6.21%,116.83,1.29
skyeSkye,Initiator,Fair / B,35.68,-0.89,49.64%,2.27%,120.13,1.33
sovaSova,Initiator,Fair / B,47.18,-1.36,49.41%,4.24%,128.27,1.32
viperViper,Controller,Good / A,54.59,+0.09,50.25%,4.33%,134.64,1.38
vyseVyse,Sentinel,Fair / B,40.63,-15.85,49.29%,3.02%,129.48,1.34
yoruYoru,Duelist,Fair / B,47.93,+1.93,49.34%,4.02%,134.95,1.35
