Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,34.61,-4.43,48.71%,1.14%,145.10,1.63
breachBreach,Initiator,Good / A,49.69,+0.92,52.30%,3.06%,136.42,1.54
brimstoneBrimstone,Controller,Fair / B,44.13,-12.17,49.18%,2.91%,143.18,1.64
chamberChamber,Sentinel,Strong / S,57.86,-0.87,49.50%,5.79%,151.50,1.51
cloveClove,Controller,Strong / S,75.72,+2.08,54.66%,6.38%,154.94,1.72
cypherCypher,Sentinel,Good / A,45.33,+4.26,51.98%,2.61%,131.14,1.48
deadlockDeadlock,Sentinel,Fair / B,40.68,+4.86,51.59%,1.78%,139.31,1.41
fadeFade,Initiator,Weak / C,39.53,+3.30,50.33%,1.94%,137.66,1.50
gekkoGekko,Initiator,Weak / C,39.40,+1.48,48.51%,3.40%,130.92,1.35
harborHarbor,Controller,Bad / D,28.68,+0.03,48.33%,0.93%,135.50,1.41
isoIso,Duelist,Strong / S,63.87,+0.22,51.56%,5.34%,170.58,1.57
jettJett,Duelist,God / S+,87.28,-6.26,50.50%,11.13%,160.00,1.55
kayoKAY/O,Initiator,Weak / C,36.75,+1.57,49.05%,1.89%,136.31,1.55
killjoyKilljoy,Sentinel,Fair / B,44.21,-2.36,51.51%,2.69%,139.73,1.36
neonNeon,Duelist,Strong / S,74.46,+12.00,51.65%,8.22%,153.99,1.49
omenOmen,Controller,Good / A,44.82,+1.30,48.94%,3.96%,135.73,1.44
phoenixPhoenix,Duelist,Fair / B,40.48,-9.11,47.95%,3.13%,147.60,1.46
razeRaze,Duelist,Good / A,54.13,+1.83,50.45%,4.64%,153.23,1.46
reynaReyna,Duelist,God / S+,96.49,+13.57,51.74%,11.99%,165.19,1.67
sageSage,Sentinel,Good / A,56.91,+0.31,50.01%,5.74%,139.82,1.49
skyeSkye,Initiator,Weak / C,36.12,-0.78,49.70%,1.98%,129.33,1.42
sovaSova,Initiator,Fair / B,42.17,+3.97,49.38%,2.63%,150.89,1.49
viperViper,Controller,Bad / D,26.75,-8.71,47.11%,1.48%,129.20,1.35
vyseVyse,Sentinel,Fair / B,42.02,-14.37,48.48%,3.08%,145.99,1.52
yoruYoru,Duelist,Good / A,47.92,+7.35,49.36%,3.36%,160.50,1.56
