Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,40.14,-2.92,49.70%,1.32%,162.30,1.77
breachBreach,Initiator,Good / A,50.81,+4.70,51.12%,4.11%,151.78,1.67
brimstoneBrimstone,Controller,Good / A,47.68,+1.06,50.59%,3.00%,155.96,1.83
chamberChamber,Sentinel,Strong / S,61.68,-9.00,51.13%,6.60%,168.59,1.66
cloveClove,Controller,Strong / S,69.52,+6.36,54.54%,6.79%,174.00,1.88
cypherCypher,Sentinel,Good / A,46.72,+6.98,52.84%,2.25%,153.48,1.72
deadlockDeadlock,Sentinel,Fair / B,39.80,-2.70,50.55%,1.63%,152.10,1.57
fadeFade,Initiator,Fair / B,39.64,-0.88,51.02%,1.71%,139.45,1.58
gekkoGekko,Initiator,Bad / D,37.23,+2.15,49.75%,2.22%,130.92,1.37
harborHarbor,Controller,Bad / D,36.79,-1.90,49.39%,0.82%,164.40,1.64
isoIso,Duelist,Strong / S,60.44,+3.28,52.05%,5.44%,184.86,1.71
jettJett,Duelist,God / S+,95.51,+0.81,51.45%,15.38%,172.45,1.64
kayoKAY/O,Initiator,Fair / B,39.61,+4.90,50.13%,1.54%,148.95,1.69
killjoyKilljoy,Sentinel,Weak / C,39.39,-5.73,49.60%,2.12%,150.00,1.49
neonNeon,Duelist,Strong / S,69.78,+8.02,52.67%,8.55%,163.05,1.56
omenOmen,Controller,Weak / C,37.78,+4.06,46.92%,2.54%,147.76,1.56
phoenixPhoenix,Duelist,Good / A,45.45,-0.46,51.40%,2.15%,169.83,1.68
razeRaze,Duelist,Good / A,54.29,-1.58,51.68%,4.53%,169.25,1.62
reynaReyna,Duelist,God / S+,86.09,+2.44,52.07%,12.44%,173.48,1.73
sageSage,Sentinel,Good / A,48.81,-2.16,50.55%,4.64%,135.00,1.48
skyeSkye,Initiator,Weak / C,38.45,+1.08,50.07%,1.75%,142.41,1.54
sovaSova,Initiator,Weak / C,38.90,-4.01,51.07%,1.46%,146.28,1.52
viperViper,Controller,Bad / D,37.34,-6.37,48.74%,1.33%,156.77,1.66
vyseVyse,Sentinel,Fair / B,43.40,-13.37,49.54%,2.82%,156.60,1.58
yoruYoru,Duelist,Fair / B,44.75,+5.25,50.74%,2.87%,155.38,1.54
