Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,29.85,+8.32,48.90%,0.79%,127.41,1.36
breachBreach,Initiator,Fair / B,40.64,+5.70,49.46%,2.57%,123.37,1.33
brimstoneBrimstone,Controller,Fair / B,47.57,+3.77,49.61%,2.62%,127.49,1.44
chamberChamber,Sentinel,Good / A,56.46,-5.94,49.40%,4.70%,135.65,1.35
cloveClove,Controller,God / S+,87.08,-0.92,51.26%,6.61%,141.45,1.48
cypherCypher,Sentinel,Good / A,51.27,-1.54,50.04%,3.54%,123.79,1.37
deadlockDeadlock,Sentinel,Fair / B,42.71,+4.87,50.11%,2.31%,123.04,1.30
fadeFade,Initiator,Fair / B,40.67,+1.82,50.07%,2.52%,116.08,1.29
gekkoGekko,Initiator,Good / A,52.77,+0.01,50.25%,4.83%,117.83,1.24
harborHarbor,Controller,Bad / D,16.19,-4.66,47.88%,1.25%,116.05,1.25
isoIso,Duelist,Strong / S,61.01,+2.83,49.93%,4.32%,142.86,1.35
jettJett,Duelist,Strong / S,62.82,+1.06,49.42%,5.94%,137.69,1.33
kayoKAY/O,Initiator,Weak / C,31.97,-6.67,48.48%,2.42%,118.60,1.37
killjoyKilljoy,Sentinel,Good / A,50.57,+8.93,50.39%,3.31%,126.78,1.28
neonNeon,Duelist,Strong / S,66.35,-0.91,49.98%,6.38%,131.99,1.30
omenOmen,Controller,Good / A,51.87,-7.24,49.06%,5.46%,124.10,1.31
phoenixPhoenix,Duelist,Fair / B,48.57,+0.62,49.29%,3.25%,136.21,1.36
razeRaze,Duelist,Good / A,54.62,-0.51,49.12%,4.97%,136.61,1.31
reynaReyna,Duelist,God / S+,98.09,-0.19,49.95%,10.47%,145.09,1.47
sageSage,Sentinel,Strong / S,65.87,+1.37,50.18%,7.36%,114.27,1.29
skyeSkye,Initiator,Weak / C,37.85,+12.20,49.43%,2.73%,116.10,1.32
sovaSova,Initiator,Weak / C,38.14,+1.58,49.26%,2.82%,123.01,1.27
viperViper,Controller,Bad / D,31.93,-2.55,49.04%,1.58%,125.63,1.30
vyseVyse,Sentinel,Weak / C,40.51,-19.95,49.06%,3.22%,124.79,1.31
yoruYoru,Duelist,Fair / B,44.64,-1.98,49.18%,4.03%,124.96,1.28
