Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,36.73,-9.63,50.02%,1.29%,151.76,1.65
breachBreach,Initiator,Good / A,49.38,+1.04,49.85%,4.32%,142.88,1.56
brimstoneBrimstone,Controller,Good / A,51.57,+1.91,51.71%,3.28%,150.69,1.78
chamberChamber,Sentinel,Strong / S,68.09,-4.57,51.42%,6.95%,158.75,1.59
cloveClove,Controller,Strong / S,72.22,+6.61,52.40%,6.76%,165.84,1.78
cypherCypher,Sentinel,Fair / B,44.15,+2.26,51.54%,2.52%,144.52,1.57
deadlockDeadlock,Sentinel,Fair / B,40.27,+4.72,52.07%,1.61%,144.46,1.54
fadeFade,Initiator,Weak / C,37.66,+4.35,51.11%,1.73%,135.72,1.52
gekkoGekko,Initiator,Fair / B,40.63,+5.27,51.01%,2.67%,132.62,1.43
harborHarbor,Controller,Bad / D,27.68,-3.08,48.07%,0.87%,142.19,1.50
isoIso,Duelist,Strong / S,58.11,+2.94,50.77%,4.88%,171.66,1.60
jettJett,Duelist,God / S+,97.23,-0.51,51.13%,12.79%,165.00,1.57
kayoKAY/O,Initiator,Bad / D,33.89,+4.63,48.71%,1.83%,136.15,1.57
killjoyKilljoy,Sentinel,Fair / B,41.01,+1.26,50.70%,2.56%,143.75,1.44
neonNeon,Duelist,Strong / S,66.76,+0.25,50.95%,7.29%,153.58,1.47
omenOmen,Controller,Fair / B,42.78,+1.29,49.11%,3.36%,143.66,1.53
phoenixPhoenix,Duelist,Fair / B,43.00,-6.03,50.42%,2.46%,157.41,1.56
razeRaze,Duelist,Good / A,57.20,+1.31,51.07%,4.97%,162.27,1.53
reynaReyna,Duelist,God / S+,97.07,+3.18,51.33%,12.20%,170.70,1.71
sageSage,Sentinel,Good / A,46.43,-0.96,49.43%,4.56%,128.87,1.43
skyeSkye,Initiator,Bad / D,35.03,-1.27,49.39%,1.79%,140.04,1.52
sovaSova,Initiator,Weak / C,36.29,+0.60,49.93%,1.77%,145.86,1.49
viperViper,Controller,Weak / C,35.11,-4.47,49.68%,1.45%,147.33,1.55
vyseVyse,Sentinel,Good / A,46.73,-15.08,51.22%,3.07%,148.34,1.57
yoruYoru,Duelist,Good / A,44.97,+3.99,50.26%,3.02%,155.68,1.53
