Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,30.11,-3.74,48.44%,1.08%,135.14,1.52
breachBreach,Initiator,Fair / B,45.78,-0.69,49.90%,3.47%,133.18,1.46
brimstoneBrimstone,Controller,Good / A,48.47,-0.80,50.48%,2.88%,137.60,1.62
chamberChamber,Sentinel,Strong / S,64.46,-4.05,50.49%,6.12%,148.05,1.49
cloveClove,Controller,Strong / S,75.03,-1.21,51.64%,6.69%,154.33,1.64
cypherCypher,Sentinel,Fair / B,46.11,+2.90,50.62%,2.91%,134.31,1.49
deadlockDeadlock,Sentinel,Fair / B,39.26,+1.77,50.64%,1.81%,134.02,1.41
fadeFade,Initiator,Weak / C,35.33,-1.82,50.15%,1.95%,122.72,1.36
gekkoGekko,Initiator,Fair / B,43.49,+1.02,50.05%,3.50%,127.80,1.35
harborHarbor,Controller,Bad / D,30.99,+0.70,49.61%,1.07%,130.19,1.39
isoIso,Duelist,Strong / S,59.56,+3.86,50.54%,4.65%,159.18,1.51
jettJett,Duelist,God / S+,81.65,+4.58,50.58%,9.20%,155.25,1.50
kayoKAY/O,Initiator,Bad / D,31.89,-1.72,48.11%,2.12%,127.09,1.47
killjoyKilljoy,Sentinel,Good / A,47.80,+5.34,51.32%,3.03%,136.80,1.39
neonNeon,Duelist,Strong / S,66.70,+2.44,50.84%,6.74%,144.52,1.42
omenOmen,Controller,Good / A,49.71,-0.08,49.44%,4.49%,136.44,1.45
phoenixPhoenix,Duelist,Good / A,48.52,-0.20,50.38%,2.83%,150.52,1.52
razeRaze,Duelist,Good / A,56.29,+2.45,49.75%,5.24%,148.55,1.42
reynaReyna,Duelist,God / S+,99.14,-0.47,51.04%,11.79%,160.14,1.61
sageSage,Sentinel,Good / A,55.11,-0.01,50.39%,5.79%,121.40,1.36
skyeSkye,Initiator,Weak / C,37.29,+6.59,49.72%,2.20%,128.03,1.43
sovaSova,Initiator,Weak / C,37.94,+1.83,49.53%,2.34%,135.30,1.39
viperViper,Controller,Weak / C,34.73,-2.70,49.91%,1.37%,135.23,1.41
vyseVyse,Sentinel,Fair / B,43.66,-16.25,49.49%,3.30%,136.52,1.43
yoruYoru,Duelist,Fair / B,40.96,+0.27,48.62%,3.44%,138.03,1.39
