Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Good / A,50.82,+1.42,57.60%,0.92%,176.27,2.05
breachBreach,Initiator,Good / A,51.95,-1.07,54.11%,4.06%,145.86,1.71
brimstoneBrimstone,Controller,Good / A,51.66,+5.03,54.96%,2.97%,155.31,1.91
chamberChamber,Sentinel,Strong / S,56.24,-4.27,49.58%,6.38%,174.58,1.71
cloveClove,Controller,Strong / S,68.13,+13.76,54.58%,7.21%,183.97,2.03
cypherCypher,Sentinel,Fair / B,41.06,+3.44,48.94%,2.12%,160.79,1.79
deadlockDeadlock,Sentinel,Weak / C,39.92,+5.31,49.81%,1.25%,165.48,1.83
fadeFade,Initiator,Fair / B,42.26,+3.60,54.17%,1.60%,139.99,1.54
gekkoGekko,Initiator,Bad / D,24.79,-17.16,40.86%,1.84%,131.80,1.35
harborHarbor,Controller,Bad / D,31.98,-2.00,46.75%,0.50%,160.64,1.64
isoIso,Duelist,Strong / S,68.40,+11.68,54.30%,6.93%,207.91,1.99
jettJett,Duelist,God / S+,91.58,-0.09,50.20%,16.66%,184.16,1.74
kayoKAY/O,Initiator,Weak / C,37.26,-7.16,49.27%,1.32%,152.66,1.66
killjoyKilljoy,Sentinel,Weak / C,40.45,+4.09,52.46%,1.92%,143.88,1.39
neonNeon,Duelist,Strong / S,67.77,+4.43,51.76%,9.41%,169.87,1.62
omenOmen,Controller,Fair / B,40.51,+4.35,49.74%,2.36%,148.39,1.61
phoenixPhoenix,Duelist,Fair / B,46.99,-1.36,54.13%,1.58%,182.72,1.75
razeRaze,Duelist,Good / A,51.01,-5.78,51.42%,4.05%,180.15,1.68
reynaReyna,Duelist,God / S+,87.61,+13.46,52.49%,14.20%,188.33,1.87
sageSage,Sentinel,Good / A,49.77,-3.54,52.19%,4.15%,149.76,1.65
skyeSkye,Initiator,Weak / C,36.95,-13.44,50.05%,1.18%,149.90,1.58
sovaSova,Initiator,Fair / B,43.03,-5.69,53.44%,1.32%,160.67,1.67
viperViper,Controller,Bad / D,35.41,+0.62,49.82%,1.04%,142.20,1.55
vyseVyse,Sentinel,Fair / B,44.64,-11.61,52.44%,2.26%,153.21,1.71
yoruYoru,Duelist,Good / A,49.81,+2.00,53.19%,2.78%,177.09,1.81
