Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,24.29,-3.44,49.02%,0.33%,120.23,1.27
breachBreach,Initiator,Fair / B,34.86,+5.23,50.31%,1.11%,118.34,1.28
brimstoneBrimstone,Controller,Good / A,53.33,-0.71,50.25%,4.00%,112.00,1.31
chamberChamber,Sentinel,Good / A,50.46,+1.26,49.97%,3.05%,131.10,1.30
cloveClove,Controller,Strong / S,67.20,-1.24,50.92%,4.49%,134.04,1.38
cypherCypher,Sentinel,Fair / B,40.90,-5.75,49.52%,2.81%,115.45,1.22
deadlockDeadlock,Sentinel,Weak / C,33.91,+3.32,50.42%,1.46%,114.69,1.17
fadeFade,Initiator,Weak / C,31.88,+1.06,49.18%,2.28%,106.77,1.16
gekkoGekko,Initiator,Good / A,52.90,-1.81,50.09%,4.96%,108.09,1.10
harborHarbor,Controller,Bad / D,20.00,+3.54,48.74%,0.72%,110.42,1.14
isoIso,Duelist,Good / A,52.97,-1.53,49.69%,3.84%,131.34,1.23
jettJett,Duelist,God / S+,94.27,-0.73,50.43%,9.63%,125.62,1.24
kayoKAY/O,Initiator,Weak / C,30.43,-3.83,48.55%,2.04%,109.19,1.24
killjoyKilljoy,Sentinel,Fair / B,38.19,+1.86,50.54%,1.96%,117.41,1.16
neonNeon,Duelist,Strong / S,64.87,+4.19,50.10%,5.77%,123.05,1.20
omenOmen,Controller,Fair / B,46.51,-1.07,48.67%,4.46%,115.08,1.15
phoenixPhoenix,Duelist,Strong / S,81.70,-1.53,49.88%,8.82%,116.34,1.15
razeRaze,Duelist,Good / A,50.13,+1.78,49.91%,3.31%,130.16,1.24
reynaReyna,Duelist,God / S+,96.52,+0.40,50.27%,9.19%,136.67,1.36
sageSage,Sentinel,Strong / S,91.50,+0.38,50.47%,10.53%,101.97,1.13
skyeSkye,Initiator,Weak / C,29.97,+6.90,49.58%,1.69%,106.37,1.18
sovaSova,Initiator,Good / A,55.54,-2.27,49.59%,5.70%,106.12,1.11
viperViper,Controller,Bad / D,26.63,-0.37,49.22%,1.46%,113.26,1.10
vyseVyse,Sentinel,Fair / B,35.53,-9.79,48.94%,2.55%,115.81,1.18
yoruYoru,Duelist,Fair / B,45.50,+4.13,49.17%,3.83%,117.66,1.17
