Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,30.64,-12.34,47.97%,1.20%,143.70,1.56
breachBreach,Initiator,Good / A,50.21,+3.73,50.71%,3.96%,136.95,1.51
brimstoneBrimstone,Controller,Good / A,48.22,-1.58,50.52%,3.08%,142.96,1.66
chamberChamber,Sentinel,Strong / S,66.27,-6.81,50.47%,6.70%,152.67,1.53
cloveClove,Controller,Strong / S,75.30,+5.46,52.44%,6.80%,158.91,1.71
cypherCypher,Sentinel,Fair / B,43.58,+0.15,50.65%,2.71%,137.25,1.51
deadlockDeadlock,Sentinel,Fair / B,38.81,-0.61,51.28%,1.69%,137.41,1.43
fadeFade,Initiator,Weak / C,35.91,+0.96,50.38%,1.78%,129.40,1.44
gekkoGekko,Initiator,Weak / C,38.49,-1.65,49.62%,2.98%,126.82,1.35
harborHarbor,Controller,Bad / D,23.98,+3.06,47.16%,1.02%,133.79,1.41
isoIso,Duelist,Good / A,56.89,-0.12,50.21%,4.66%,164.53,1.53
jettJett,Duelist,God / S+,91.09,-3.72,50.95%,10.92%,162.71,1.56
kayoKAY/O,Initiator,Bad / D,33.36,-1.35,48.67%,1.81%,132.96,1.52
killjoyKilljoy,Sentinel,Fair / B,45.14,+0.24,51.21%,2.88%,141.00,1.42
neonNeon,Duelist,Strong / S,67.97,+1.42,50.96%,7.14%,149.11,1.44
omenOmen,Controller,Good / A,47.67,+2.96,49.73%,3.92%,139.50,1.50
phoenixPhoenix,Duelist,Fair / B,45.97,+3.44,50.56%,2.66%,153.93,1.54
razeRaze,Duelist,Strong / S,58.33,+3.50,50.85%,4.96%,156.57,1.49
reynaReyna,Duelist,God / S+,98.55,-0.36,51.42%,11.83%,164.34,1.65
sageSage,Sentinel,Good / A,52.16,+1.93,50.49%,5.18%,124.00,1.39
skyeSkye,Initiator,Weak / C,37.55,+5.84,50.21%,2.05%,130.86,1.47
sovaSova,Initiator,Weak / C,37.27,+1.18,49.84%,2.16%,136.09,1.42
viperViper,Controller,Fair / B,38.88,+6.30,50.92%,1.49%,143.35,1.51
vyseVyse,Sentinel,Good / A,46.47,-14.34,50.66%,3.23%,140.04,1.49
yoruYoru,Duelist,Fair / B,41.30,+2.73,48.94%,3.19%,142.73,1.43
