Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,27.32,+0.36,48.14%,0.94%,131.20,1.45
breachBreach,Initiator,Fair / B,45.70,+3.12,50.09%,3.13%,128.92,1.40
brimstoneBrimstone,Controller,Good / A,52.73,+5.34,50.87%,2.91%,133.12,1.56
chamberChamber,Sentinel,Strong / S,60.62,-0.32,49.81%,5.57%,142.97,1.43
cloveClove,Controller,God / S+,81.44,-0.07,51.69%,6.87%,150.20,1.59
cypherCypher,Sentinel,Good / A,46.87,+3.93,50.14%,3.15%,129.43,1.43
deadlockDeadlock,Sentinel,Fair / B,41.92,+1.54,50.73%,2.01%,128.41,1.36
fadeFade,Initiator,Weak / C,38.07,+1.78,50.11%,2.12%,121.51,1.37
gekkoGekko,Initiator,Fair / B,44.28,+0.01,49.68%,3.97%,123.34,1.30
harborHarbor,Controller,Bad / D,25.73,+3.21,48.42%,1.21%,124.67,1.34
isoIso,Duelist,Good / A,59.11,+1.32,50.15%,4.41%,153.16,1.44
jettJett,Duelist,Strong / S,72.19,+0.25,49.92%,7.57%,147.49,1.42
kayoKAY/O,Initiator,Bad / D,33.04,+2.55,48.42%,2.25%,124.38,1.43
killjoyKilljoy,Sentinel,Fair / B,46.79,-4.61,50.43%,3.20%,131.92,1.34
neonNeon,Duelist,Strong / S,64.81,-4.02,50.34%,6.43%,138.60,1.36
omenOmen,Controller,Good / A,51.62,+5.61,49.13%,5.07%,131.77,1.40
phoenixPhoenix,Duelist,Good / A,50.62,+2.93,50.07%,3.10%,145.38,1.46
razeRaze,Duelist,Good / A,55.56,-6.83,49.62%,5.01%,142.78,1.37
reynaReyna,Duelist,God / S+,98.83,+0.73,50.90%,10.97%,154.70,1.57
sageSage,Sentinel,Strong / S,60.24,+0.39,50.46%,6.58%,117.00,1.33
skyeSkye,Initiator,Weak / C,35.24,+2.28,49.23%,2.47%,120.54,1.35
sovaSova,Initiator,Weak / C,38.22,-5.14,49.50%,2.56%,127.94,1.33
viperViper,Controller,Weak / C,35.19,+0.23,49.59%,1.52%,131.22,1.38
vyseVyse,Sentinel,Fair / B,43.59,-11.54,49.32%,3.41%,130.97,1.38
yoruYoru,Duelist,Fair / B,40.27,-3.07,48.71%,3.58%,130.55,1.33
