Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,30.91,-2.37,48.80%,0.88%,136.14,1.44
breachBreach,Initiator,Fair / B,38.66,-2.61,49.32%,2.41%,131.08,1.38
brimstoneBrimstone,Controller,Fair / B,43.24,+4.16,50.94%,1.69%,134.87,1.59
chamberChamber,Sentinel,Good / A,51.98,-2.77,49.82%,4.41%,145.52,1.32
cloveClove,Controller,Strong / S,80.25,+1.00,51.09%,8.28%,152.06,1.52
cypherCypher,Sentinel,Strong / S,60.79,+0.18,50.16%,6.28%,132.88,1.32
deadlockDeadlock,Sentinel,Weak / C,34.02,+5.20,50.62%,1.03%,133.18,1.30
fadeFade,Initiator,Weak / C,36.39,+3.41,50.61%,1.33%,130.17,1.38
gekkoGekko,Initiator,Fair / B,41.99,+3.16,50.07%,3.00%,128.52,1.29
harborHarbor,Controller,Bad / D,22.82,-3.46,47.98%,0.31%,129.16,1.33
isoIso,Duelist,Good / A,54.37,-0.25,50.36%,3.98%,160.32,1.37
jettJett,Duelist,God / S+,95.49,-1.52,50.20%,12.18%,153.56,1.32
kayoKAY/O,Initiator,Weak / C,32.67,-0.51,48.34%,1.37%,133.81,1.48
killjoyKilljoy,Sentinel,Good / A,49.22,-1.25,49.98%,4.29%,137.88,1.23
neonNeon,Duelist,Good / A,54.82,+1.04,50.28%,4.85%,144.85,1.28
omenOmen,Controller,Strong / S,67.75,+3.35,49.36%,7.69%,134.48,1.41
phoenixPhoenix,Duelist,Good / A,50.69,+0.06,50.50%,3.40%,153.09,1.38
razeRaze,Duelist,Fair / B,47.99,-1.67,51.05%,2.71%,153.91,1.34
reynaReyna,Duelist,God / S+,86.36,+0.50,50.23%,10.04%,157.27,1.41
sageSage,Sentinel,Good / A,59.14,+8.25,52.49%,4.73%,129.15,1.37
skyeSkye,Initiator,Weak / C,35.45,-0.43,49.61%,1.94%,127.60,1.32
sovaSova,Initiator,Strong / S,76.08,+1.59,50.07%,9.02%,137.19,1.34
viperViper,Controller,Bad / D,24.10,-5.60,47.83%,0.45%,136.01,1.32
vyseVyse,Sentinel,Fair / B,37.43,-9.32,49.96%,1.72%,137.49,1.35
yoruYoru,Duelist,Fair / B,37.40,-0.12,49.44%,2.00%,142.50,1.30
