Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,36.87,-4.84,48.41%,1.03%,137.33,1.49
breachBreach,Initiator,Good / A,44.77,-0.03,49.91%,2.82%,131.26,1.42
brimstoneBrimstone,Controller,Fair / B,39.70,-0.25,49.92%,0.85%,137.85,1.59
chamberChamber,Sentinel,Good / A,52.75,-3.59,49.79%,4.78%,148.27,1.31
cloveClove,Controller,Strong / S,75.94,+3.98,51.22%,9.31%,153.68,1.57
cypherCypher,Sentinel,Strong / S,62.32,+2.88,50.21%,7.36%,135.24,1.33
deadlockDeadlock,Sentinel,Weak / C,37.45,+1.00,50.78%,0.60%,139.06,1.35
fadeFade,Initiator,Bad / D,36.30,-0.37,49.49%,0.95%,131.16,1.37
gekkoGekko,Initiator,Weak / C,37.12,-0.08,49.94%,1.40%,127.62,1.26
harborHarbor,Controller,Bad / D,28.17,-7.90,46.88%,0.09%,130.91,1.31
isoIso,Duelist,Good / A,50.75,+1.82,50.14%,3.38%,166.73,1.40
jettJett,Duelist,God / S+,96.45,+0.36,50.02%,15.74%,155.51,1.30
kayoKAY/O,Initiator,Fair / B,38.45,+4.45,49.65%,0.77%,137.53,1.55
killjoyKilljoy,Sentinel,Good / A,52.51,+0.42,49.99%,5.03%,140.83,1.24
neonNeon,Duelist,Good / A,50.66,+3.89,50.21%,4.11%,148.68,1.29
omenOmen,Controller,Strong / S,65.03,+0.52,49.07%,8.18%,134.19,1.46
phoenixPhoenix,Duelist,Good / A,48.43,+0.65,50.44%,2.81%,159.74,1.41
razeRaze,Duelist,Fair / B,43.72,+1.11,50.00%,2.07%,157.62,1.33
reynaReyna,Duelist,Strong / S,76.67,+2.35,50.11%,10.28%,158.32,1.40
sageSage,Sentinel,Fair / B,41.59,+3.65,50.66%,1.93%,130.54,1.35
skyeSkye,Initiator,Fair / B,40.38,+1.25,49.64%,1.94%,131.80,1.37
sovaSova,Initiator,God / S+,81.40,+0.88,50.19%,12.04%,140.34,1.37
viperViper,Controller,Bad / D,36.46,-3.05,49.63%,0.12%,152.32,1.46
vyseVyse,Sentinel,Fair / B,38.07,-6.42,49.35%,1.14%,141.10,1.39
yoruYoru,Duelist,Weak / C,38.05,-2.68,49.41%,1.26%,144.23,1.31
