Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,23.32,-9.54,48.47%,0.62%,131.22,1.34
breachBreach,Initiator,Weak / C,37.94,-4.84,49.79%,1.91%,130.43,1.29
brimstoneBrimstone,Controller,Fair / B,46.40,+3.18,49.76%,2.70%,132.26,1.39
chamberChamber,Sentinel,Good / A,52.65,+0.10,49.55%,4.33%,140.68,1.30
cloveClove,Controller,God / S+,86.60,-2.81,51.03%,7.26%,147.61,1.43
cypherCypher,Sentinel,Strong / S,61.37,+1.22,50.35%,5.49%,129.60,1.31
deadlockDeadlock,Sentinel,Fair / B,38.78,+8.69,50.41%,1.81%,127.10,1.24
fadeFade,Initiator,Weak / C,36.84,+0.12,49.88%,2.11%,123.95,1.28
gekkoGekko,Initiator,Good / A,53.45,+0.46,50.11%,5.43%,124.82,1.21
harborHarbor,Controller,Bad / D,17.30,-2.44,48.48%,0.77%,123.79,1.22
isoIso,Duelist,Good / A,54.25,-0.56,49.79%,3.64%,150.29,1.30
jettJett,Duelist,Strong / S,69.83,-0.81,50.10%,6.04%,150.03,1.32
kayoKAY/O,Initiator,Weak / C,32.32,+3.71,48.83%,2.24%,124.37,1.34
killjoyKilljoy,Sentinel,Fair / B,47.87,+3.61,50.31%,3.43%,132.91,1.22
neonNeon,Duelist,Good / A,57.09,+1.63,50.01%,4.98%,138.74,1.25
omenOmen,Controller,Strong / S,64.94,-2.09,49.22%,7.57%,133.38,1.31
phoenixPhoenix,Duelist,Good / A,54.17,+5.05,49.91%,3.24%,148.45,1.34
razeRaze,Duelist,Good / A,54.26,-2.98,49.74%,4.09%,145.87,1.29
reynaReyna,Duelist,God / S+,98.70,+0.32,50.24%,10.52%,153.94,1.40
sageSage,Sentinel,Strong / S,69.80,-0.20,50.27%,8.28%,120.46,1.26
skyeSkye,Initiator,Weak / C,36.60,+4.34,49.57%,2.60%,122.33,1.28
sovaSova,Initiator,Fair / B,51.52,+2.35,49.96%,4.40%,131.67,1.26
viperViper,Controller,Bad / D,27.72,+4.11,49.15%,0.99%,131.84,1.26
vyseVyse,Sentinel,Fair / B,38.03,-12.67,49.51%,2.57%,129.18,1.27
yoruYoru,Duelist,Fair / B,38.24,+0.05,49.08%,2.99%,134.97,1.25
