Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,36.07,-3.49,49.16%,1.05%,138.19,1.48
breachBreach,Initiator,Fair / B,43.96,+0.31,49.66%,3.04%,130.67,1.38
brimstoneBrimstone,Controller,Fair / B,39.73,-0.82,49.89%,1.27%,137.83,1.57
chamberChamber,Sentinel,Good / A,57.95,-1.21,49.72%,5.71%,148.58,1.32
cloveClove,Controller,Strong / S,78.63,+3.49,51.23%,8.74%,152.86,1.54
cypherCypher,Sentinel,Strong / S,61.03,+3.35,50.31%,6.46%,134.97,1.33
deadlockDeadlock,Sentinel,Bad / D,33.41,-0.70,49.81%,0.80%,135.08,1.30
fadeFade,Initiator,Weak / C,36.92,-0.66,50.13%,1.22%,132.21,1.40
gekkoGekko,Initiator,Fair / B,40.31,+0.55,50.01%,2.47%,128.67,1.27
harborHarbor,Controller,Bad / D,22.96,-0.45,45.92%,0.15%,137.33,1.33
isoIso,Duelist,Good / A,51.13,+1.72,50.57%,3.14%,165.78,1.40
jettJett,Duelist,God / S+,96.57,-0.05,49.93%,13.74%,156.63,1.32
kayoKAY/O,Initiator,Weak / C,34.63,+0.78,48.39%,1.25%,134.09,1.47
killjoyKilljoy,Sentinel,Good / A,51.65,+2.95,50.48%,4.49%,139.32,1.24
neonNeon,Duelist,Good / A,49.78,+2.15,50.26%,3.82%,147.79,1.29
omenOmen,Controller,Strong / S,69.84,+1.75,49.24%,8.47%,136.21,1.45
phoenixPhoenix,Duelist,Good / A,50.03,+0.97,50.87%,2.88%,159.79,1.42
razeRaze,Duelist,Fair / B,44.54,-0.85,49.76%,2.65%,154.95,1.31
reynaReyna,Duelist,God / S+,83.25,+1.59,50.22%,10.40%,159.09,1.41
sageSage,Sentinel,Good / A,45.39,+1.86,50.27%,3.31%,128.08,1.33
skyeSkye,Initiator,Fair / B,40.40,+0.57,49.70%,2.26%,131.35,1.37
sovaSova,Initiator,Strong / S,76.04,+1.53,50.11%,9.53%,140.39,1.37
viperViper,Controller,Bad / D,29.36,-7.34,48.00%,0.18%,144.36,1.40
vyseVyse,Sentinel,Fair / B,39.89,-7.68,50.15%,1.62%,141.08,1.39
yoruYoru,Duelist,Weak / C,36.55,-0.33,49.30%,1.35%,145.76,1.32
