Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,29.03,-2.45,48.97%,0.85%,137.80,1.44
breachBreach,Initiator,Fair / B,40.00,-0.94,49.77%,2.63%,134.27,1.36
brimstoneBrimstone,Controller,Fair / B,41.43,+1.03,50.03%,2.08%,136.76,1.51
chamberChamber,Sentinel,Strong / S,60.47,-2.52,49.88%,5.62%,149.33,1.35
cloveClove,Controller,Strong / S,85.32,+0.09,51.25%,8.26%,153.63,1.52
cypherCypher,Sentinel,Good / A,58.97,+0.82,50.18%,5.72%,134.25,1.34
deadlockDeadlock,Sentinel,Weak / C,31.49,+0.14,50.14%,1.21%,133.57,1.29
fadeFade,Initiator,Weak / C,34.61,-0.19,50.11%,1.54%,132.28,1.36
gekkoGekko,Initiator,Fair / B,47.07,-0.65,50.27%,4.12%,127.97,1.26
harborHarbor,Controller,Bad / D,19.40,+7.27,48.14%,0.34%,132.98,1.32
isoIso,Duelist,Good / A,53.18,+1.70,50.33%,3.48%,162.86,1.39
jettJett,Duelist,God / S+,88.22,-2.52,50.13%,9.88%,159.02,1.36
kayoKAY/O,Initiator,Weak / C,33.25,+0.73,48.83%,1.84%,132.83,1.44
killjoyKilljoy,Sentinel,Fair / B,48.21,+0.56,50.56%,3.83%,137.64,1.25
neonNeon,Duelist,Good / A,51.75,+0.49,50.17%,4.19%,147.09,1.30
omenOmen,Controller,Strong / S,72.01,+0.15,49.37%,8.12%,137.79,1.41
phoenixPhoenix,Duelist,Good / A,50.80,+0.52,50.42%,2.97%,159.97,1.42
razeRaze,Duelist,Good / A,49.90,+1.06,50.07%,3.50%,155.60,1.34
reynaReyna,Duelist,God / S+,98.49,+0.39,50.38%,11.05%,162.23,1.45
sageSage,Sentinel,Good / A,57.95,+0.68,50.27%,5.87%,125.37,1.31
skyeSkye,Initiator,Fair / B,36.79,+1.44,49.70%,2.35%,129.23,1.34
sovaSova,Initiator,Strong / S,62.73,-0.28,50.18%,6.10%,140.07,1.36
viperViper,Controller,Bad / D,25.81,+3.57,49.18%,0.42%,139.62,1.35
vyseVyse,Sentinel,Fair / B,38.39,-13.24,49.74%,2.19%,139.25,1.36
yoruYoru,Duelist,Weak / C,34.73,+2.17,49.43%,1.81%,143.34,1.31
