Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,39.58,-1.61,49.23%,0.89%,141.58,1.55
breachBreach,Initiator,Good / A,43.79,-0.58,49.76%,2.28%,133.53,1.49
brimstoneBrimstone,Controller,Weak / C,38.48,-6.04,49.55%,0.41%,135.72,1.62
chamberChamber,Sentinel,Good / A,47.45,-1.29,49.90%,3.32%,148.59,1.33
cloveClove,Controller,Strong / S,78.99,+5.27,50.93%,10.94%,154.16,1.58
cypherCypher,Sentinel,Strong / S,62.93,+2.74,50.16%,8.05%,134.69,1.32
deadlockDeadlock,Sentinel,Weak / C,39.15,-4.04,52.21%,0.48%,131.45,1.33
fadeFade,Initiator,Fair / B,41.15,+1.93,51.79%,0.62%,135.40,1.50
gekkoGekko,Initiator,Weak / C,36.64,-4.15,50.03%,0.60%,134.27,1.33
harborHarbor,Controller,Bad / D,24.06,-3.96,41.41%,0.04%,143.05,1.43
isoIso,Duelist,Good / A,54.90,-0.03,50.39%,4.54%,166.01,1.39
jettJett,Duelist,God / S+,95.44,+1.13,50.07%,16.84%,154.72,1.29
kayoKAY/O,Initiator,Bad / D,35.71,-1.63,48.13%,0.41%,137.52,1.53
killjoyKilljoy,Sentinel,Good / A,54.74,+0.19,49.85%,5.90%,141.37,1.23
neonNeon,Duelist,Good / A,54.52,+4.26,50.66%,5.00%,150.62,1.31
omenOmen,Controller,Strong / S,60.58,+1.79,49.10%,7.39%,132.88,1.48
phoenixPhoenix,Duelist,Good / A,48.68,+4.50,51.11%,2.48%,161.75,1.43
razeRaze,Duelist,Fair / B,42.96,-0.54,50.90%,1.21%,160.17,1.35
reynaReyna,Duelist,Strong / S,72.74,+0.77,50.62%,9.77%,157.50,1.39
sageSage,Sentinel,Fair / B,39.36,-1.29,50.83%,0.89%,135.13,1.37
skyeSkye,Initiator,Weak / C,38.20,+0.94,49.42%,1.19%,131.92,1.39
sovaSova,Initiator,God / S+,86.52,+1.69,49.81%,14.62%,140.15,1.36
viperViper,Controller,Bad / D,31.79,-0.30,46.33%,0.09%,142.71,1.47
vyseVyse,Sentinel,Fair / B,39.54,-5.21,50.06%,0.70%,146.98,1.44
yoruYoru,Duelist,Fair / B,42.10,+5.44,50.93%,1.34%,146.77,1.35
