Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,25.43,+2.13,48.51%,0.37%,129.14,1.31
breachBreach,Initiator,Weak / C,32.09,-0.56,49.59%,1.02%,124.46,1.27
brimstoneBrimstone,Controller,Fair / B,46.26,-1.70,49.32%,3.66%,112.54,1.28
chamberChamber,Sentinel,Good / A,50.36,-1.98,49.66%,3.19%,136.14,1.29
cloveClove,Controller,Strong / S,67.94,+1.84,50.93%,4.58%,139.19,1.38
cypherCypher,Sentinel,Good / A,48.11,-1.28,49.87%,3.35%,122.26,1.25
deadlockDeadlock,Sentinel,Weak / C,30.03,+3.52,49.73%,1.28%,117.92,1.16
fadeFade,Initiator,Fair / B,34.78,+1.74,49.71%,2.12%,113.33,1.17
gekkoGekko,Initiator,Good / A,49.22,-0.32,49.64%,4.68%,112.27,1.08
harborHarbor,Controller,Bad / D,19.94,+3.02,48.87%,0.62%,113.70,1.12
isoIso,Duelist,Good / A,51.45,-0.66,49.69%,3.62%,135.68,1.22
jettJett,Duelist,God / S+,95.05,-2.55,50.14%,9.81%,132.78,1.25
kayoKAY/O,Initiator,Weak / C,30.96,+2.50,48.52%,2.01%,113.96,1.23
killjoyKilljoy,Sentinel,Fair / B,39.42,-0.56,50.31%,2.14%,123.35,1.15
neonNeon,Duelist,Good / A,58.33,+1.53,49.69%,5.20%,125.65,1.17
omenOmen,Controller,Good / A,57.19,+0.61,49.19%,5.17%,124.51,1.22
phoenixPhoenix,Duelist,Strong / S,78.68,-0.73,49.80%,8.36%,121.23,1.16
razeRaze,Duelist,Fair / B,47.68,-0.77,49.26%,3.32%,135.20,1.22
reynaReyna,Duelist,God / S+,96.83,-0.82,49.94%,9.53%,142.42,1.33
sageSage,Sentinel,Strong / S,90.29,-0.77,50.30%,10.41%,106.14,1.13
skyeSkye,Initiator,Weak / C,30.01,+0.19,49.29%,1.71%,112.00,1.17
sovaSova,Initiator,Strong / S,65.19,-1.39,49.77%,6.52%,115.34,1.17
viperViper,Controller,Bad / D,25.31,+2.21,49.12%,1.27%,116.79,1.08
vyseVyse,Sentinel,Fair / B,36.17,-5.02,49.05%,2.44%,120.61,1.18
yoruYoru,Duelist,Fair / B,43.27,-0.17,48.93%,3.62%,122.50,1.14
