Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,31.04,-6.57,49.02%,0.97%,137.50,1.46
breachBreach,Initiator,Fair / B,42.98,+1.38,50.13%,2.87%,133.29,1.37
brimstoneBrimstone,Controller,Fair / B,38.87,-0.93,49.99%,1.67%,135.89,1.53
chamberChamber,Sentinel,Strong / S,61.58,-1.96,49.99%,5.87%,148.97,1.34
cloveClove,Controller,Strong / S,84.33,+3.91,51.15%,8.55%,153.28,1.52
cypherCypher,Sentinel,Good / A,60.72,+3.02,50.26%,5.95%,135.48,1.34
deadlockDeadlock,Sentinel,Weak / C,31.90,-1.94,50.34%,1.00%,135.49,1.30
fadeFade,Initiator,Weak / C,32.89,-3.16,49.85%,1.36%,130.57,1.36
gekkoGekko,Initiator,Fair / B,44.09,+0.64,50.34%,3.43%,128.37,1.27
harborHarbor,Controller,Bad / D,19.83,+6.51,47.81%,0.21%,130.45,1.33
isoIso,Duelist,Good / A,52.10,+3.33,50.47%,3.32%,164.63,1.40
jettJett,Duelist,God / S+,97.21,+0.13,50.08%,11.78%,158.21,1.34
kayoKAY/O,Initiator,Weak / C,33.75,-0.59,48.86%,1.60%,133.97,1.47
killjoyKilljoy,Sentinel,Good / A,47.76,+0.09,50.11%,3.99%,138.32,1.24
neonNeon,Duelist,Good / A,50.67,+1.81,50.25%,4.01%,147.55,1.29
omenOmen,Controller,Strong / S,73.07,+2.16,49.31%,8.32%,136.60,1.42
phoenixPhoenix,Duelist,Good / A,50.48,+0.99,50.44%,3.05%,161.54,1.43
razeRaze,Duelist,Fair / B,47.50,+0.31,50.21%,3.07%,156.57,1.34
reynaReyna,Duelist,God / S+,94.50,+1.99,50.27%,10.84%,161.17,1.43
sageSage,Sentinel,Good / A,50.92,+1.13,50.10%,4.63%,126.82,1.32
skyeSkye,Initiator,Fair / B,39.08,+2.55,49.97%,2.32%,131.44,1.37
sovaSova,Initiator,Strong / S,70.45,+1.58,50.18%,7.45%,140.85,1.37
viperViper,Controller,Bad / D,24.07,-4.44,48.63%,0.26%,138.63,1.34
vyseVyse,Sentinel,Fair / B,36.04,-11.50,49.43%,1.90%,138.99,1.36
yoruYoru,Duelist,Weak / C,34.16,-0.45,49.38%,1.57%,144.33,1.32
