Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,40.61,+4.70,49.02%,1.39%,136.42,1.47
breachBreach,Initiator,Weak / C,39.90,-6.02,45.05%,2.73%,127.19,1.46
brimstoneBrimstone,Controller,Good / A,51.42,+18.55,60.00%,0.05%,147.20,2.29
chamberChamber,Sentinel,Fair / B,42.21,-3.50,49.97%,1.92%,143.15,1.30
cloveClove,Controller,Strong / S,62.96,-5.13,50.75%,8.81%,160.92,1.64
cypherCypher,Sentinel,Good / A,57.71,-5.16,49.99%,8.42%,136.22,1.30
deadlockDeadlock,Sentinel,Fair / B,42.29,+20.46,52.42%,0.61%,145.80,1.50
fadeFade,Initiator,Fair / B,44.24,+11.20,54.71%,0.37%,142.91,1.67
gekkoGekko,Initiator,Weak / C,40.11,+13.70,50.00%,0.10%,144.93,1.71
harborHarbor,Controller,Fair / B,42.63,-9.72,56.14%,0.06%,119.91,1.61
isoIso,Duelist,Strong / S,58.84,-3.19,51.73%,7.01%,169.28,1.44
jettJett,Duelist,God / S+,83.17,-5.72,51.13%,17.75%,156.50,1.32
kayoKAY/O,Initiator,Bad / D,38.45,NEW,45.10%,0.17%,159.61,1.90
killjoyKilljoy,Sentinel,Good / A,51.82,-4.85,48.04%,6.25%,150.63,1.29
neonNeon,Duelist,Good / A,58.27,-3.18,51.17%,7.74%,151.42,1.33
omenOmen,Controller,Strong / S,58.74,+9.49,50.08%,8.30%,136.51,1.53
phoenixPhoenix,Duelist,Fair / B,43.47,-5.05,51.05%,1.73%,147.57,1.39
razeRaze,Duelist,Good / A,49.80,-6.15,59.50%,0.68%,165.77,1.53
reynaReyna,Duelist,Good / A,56.53,-3.75,49.78%,7.02%,159.02,1.44
sageSage,Sentinel,Strong / S,59.04,+20.02,69.36%,0.20%,165.03,1.99
skyeSkye,Initiator,Bad / D,37.56,-4.80,49.59%,0.69%,130.26,1.23
sovaSova,Initiator,God / S+,77.15,+5.30,50.36%,15.53%,147.33,1.46
viperViper,Controller,Bad / D,28.39,NEW,41.27%,0.07%,121.89,1.17
vyseVyse,Sentinel,Weak / C,41.57,-3.61,52.91%,0.57%,140.25,1.39
yoruYoru,Duelist,Fair / B,43.12,-0.44,49.28%,1.82%,158.99,1.40
