Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,27.46,-4.64,48.73%,0.72%,136.94,1.40
breachBreach,Initiator,Fair / B,40.64,+2.20,50.09%,2.35%,134.36,1.34
brimstoneBrimstone,Controller,Fair / B,45.53,+2.32,50.01%,2.52%,137.44,1.48
chamberChamber,Sentinel,Good / A,56.84,-1.26,49.81%,5.05%,147.55,1.35
cloveClove,Controller,God / S+,84.12,-0.15,51.20%,7.95%,152.78,1.50
cypherCypher,Sentinel,Strong / S,58.34,+0.98,50.20%,5.67%,133.45,1.34
deadlockDeadlock,Sentinel,Weak / C,35.01,+2.66,50.27%,1.49%,132.51,1.28
fadeFade,Initiator,Weak / C,35.10,+1.82,49.91%,1.69%,129.70,1.34
gekkoGekko,Initiator,Fair / B,50.42,+0.63,50.34%,4.69%,128.14,1.25
harborHarbor,Controller,Bad / D,20.50,-0.47,48.46%,0.52%,129.56,1.30
isoIso,Duelist,Good / A,55.41,-0.28,50.23%,3.64%,161.00,1.38
jettJett,Duelist,Strong / S,77.56,+1.46,50.23%,7.99%,158.31,1.37
kayoKAY/O,Initiator,Weak / C,32.52,-1.69,48.64%,2.03%,130.27,1.41
killjoyKilljoy,Sentinel,Fair / B,46.56,+1.66,50.35%,3.61%,136.38,1.25
neonNeon,Duelist,Good / A,54.25,+1.10,50.20%,4.52%,145.86,1.30
omenOmen,Controller,Strong / S,68.34,-0.11,49.42%,7.84%,138.38,1.38
phoenixPhoenix,Duelist,Good / A,52.81,+2.35,50.34%,3.05%,157.12,1.41
razeRaze,Duelist,Good / A,51.94,-2.36,49.93%,3.78%,153.76,1.34
reynaReyna,Duelist,God / S+,98.94,+0.21,50.53%,11.10%,162.30,1.47
sageSage,Sentinel,Strong / S,62.91,-0.89,50.29%,7.02%,124.62,1.30
skyeSkye,Initiator,Fair / B,36.29,+1.74,49.50%,2.43%,128.07,1.33
sovaSova,Initiator,Good / A,55.34,-0.48,50.03%,5.07%,138.10,1.33
viperViper,Controller,Bad / D,27.56,+3.26,49.28%,0.66%,136.26,1.32
vyseVyse,Sentinel,Fair / B,39.73,-11.06,49.72%,2.42%,136.60,1.34
yoruYoru,Duelist,Weak / C,35.89,+1.00,49.18%,2.19%,141.52,1.30
