Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,32.03,-2.99,49.20%,0.38%,137.61,1.37
breachBreach,Initiator,Bad / D,31.88,+2.65,49.24%,0.79%,130.31,1.31
brimstoneBrimstone,Controller,Weak / C,36.03,+0.89,49.59%,1.14%,131.09,1.39
chamberChamber,Sentinel,Good / A,60.16,-3.06,49.80%,6.06%,145.90,1.31
cloveClove,Controller,Strong / S,70.07,+0.62,51.23%,6.60%,153.61,1.46
cypherCypher,Sentinel,Fair / B,41.34,+4.13,51.48%,1.46%,130.98,1.33
deadlockDeadlock,Sentinel,Fair / B,36.34,+6.67,50.06%,1.22%,135.55,1.28
fadeFade,Initiator,Weak / C,34.22,-3.25,49.86%,1.10%,126.25,1.30
gekkoGekko,Initiator,Good / A,47.60,+1.04,50.14%,4.15%,125.46,1.22
harborHarbor,Controller,Bad / D,29.88,-4.79,48.23%,0.95%,128.98,1.32
isoIso,Duelist,Good / A,57.15,+1.45,50.71%,4.11%,162.59,1.37
jettJett,Duelist,God / S+,97.59,-0.36,50.32%,13.40%,156.75,1.34
kayoKAY/O,Initiator,Weak / C,35.25,-2.56,48.07%,1.74%,131.00,1.42
killjoyKilljoy,Sentinel,Strong / S,61.62,+2.82,50.48%,6.57%,136.86,1.23
neonNeon,Duelist,Good / A,49.36,+0.77,50.06%,3.68%,146.26,1.28
omenOmen,Controller,Fair / B,43.07,-6.54,48.70%,3.37%,137.51,1.29
phoenixPhoenix,Duelist,Fair / B,45.22,+0.29,50.28%,2.24%,151.04,1.35
razeRaze,Duelist,Good / A,46.12,-3.37,50.31%,2.73%,150.25,1.27
reynaReyna,Duelist,God / S+,88.95,+0.18,50.32%,11.29%,157.88,1.40
sageSage,Sentinel,Good / A,53.27,+2.10,50.25%,5.06%,125.46,1.29
skyeSkye,Initiator,Weak / C,32.97,+4.20,49.03%,1.10%,130.88,1.32
sovaSova,Initiator,Strong / S,79.38,+1.21,49.96%,10.57%,134.05,1.30
viperViper,Controller,Strong / S,65.87,+0.57,50.01%,7.29%,138.50,1.35
vyseVyse,Sentinel,Fair / B,36.28,-3.63,49.49%,1.27%,138.30,1.33
yoruYoru,Duelist,Fair / B,38.36,+0.96,49.26%,1.98%,140.41,1.27
