Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Fair / B,38.49,+0.37,49.99%,0.27%,142.25,1.46
breachBreach,Initiator,Bad / D,32.61,-3.76,47.94%,0.29%,130.60,1.31
brimstoneBrimstone,Controller,Bad / D,35.32,-3.52,48.77%,0.26%,133.39,1.42
chamberChamber,Sentinel,Strong / S,63.97,-3.14,49.57%,8.12%,145.95,1.28
cloveClove,Controller,Strong / S,65.42,+2.11,51.19%,7.02%,154.17,1.46
cypherCypher,Sentinel,Weak / C,35.98,+1.76,49.58%,0.60%,133.07,1.27
deadlockDeadlock,Sentinel,Fair / B,39.49,-1.18,50.88%,0.83%,137.22,1.30
fadeFade,Initiator,Weak / C,35.83,-2.20,50.11%,0.32%,127.64,1.33
gekkoGekko,Initiator,Good / A,45.02,-1.61,49.98%,3.23%,127.74,1.25
harborHarbor,Controller,Weak / C,38.40,-2.48,49.57%,1.10%,131.19,1.35
isoIso,Duelist,Good / A,54.60,+1.34,50.96%,3.87%,168.78,1.40
jettJett,Duelist,God / S+,97.38,+0.54,50.14%,16.82%,158.98,1.31
kayoKAY/O,Initiator,Fair / B,38.44,+2.83,48.23%,1.13%,135.42,1.48
killjoyKilljoy,Sentinel,Good / A,63.15,+2.26,50.14%,7.95%,139.64,1.24
neonNeon,Duelist,Good / A,46.28,+1.68,50.46%,2.67%,149.44,1.27
omenOmen,Controller,Fair / B,39.53,-0.63,48.51%,1.55%,146.45,1.31
phoenixPhoenix,Duelist,Fair / B,41.27,-0.64,50.13%,0.83%,156.55,1.39
razeRaze,Duelist,Good / A,43.50,+1.04,49.45%,2.12%,154.97,1.28
reynaReyna,Duelist,Strong / S,81.16,+1.76,50.19%,12.03%,159.20,1.37
sageSage,Sentinel,Good / A,43.51,+1.27,50.70%,2.21%,128.91,1.33
skyeSkye,Initiator,Bad / D,35.74,+3.31,49.45%,0.45%,130.36,1.34
sovaSova,Initiator,God / S+,86.26,+2.63,49.95%,14.41%,136.52,1.31
viperViper,Controller,Strong / S,72.05,+0.78,49.87%,10.14%,140.84,1.37
vyseVyse,Sentinel,Weak / C,37.25,-4.09,49.14%,0.63%,141.49,1.36
yoruYoru,Duelist,Fair / B,39.36,-0.40,49.83%,1.15%,143.58,1.28
