Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,28.00,+3.54,49.15%,0.48%,132.86,1.30
breachBreach,Initiator,Bad / D,30.36,+0.05,49.37%,1.29%,128.32,1.25
brimstoneBrimstone,Controller,Fair / B,37.55,-3.62,49.19%,2.10%,131.91,1.34
chamberChamber,Sentinel,Strong / S,60.60,-0.17,50.01%,4.92%,142.60,1.32
cloveClove,Controller,God / S+,86.49,+0.09,51.37%,6.99%,149.11,1.42
cypherCypher,Sentinel,Fair / B,42.87,+1.85,49.84%,3.03%,126.85,1.28
deadlockDeadlock,Sentinel,Weak / C,36.09,+1.81,49.86%,2.02%,127.44,1.22
fadeFade,Initiator,Weak / C,34.90,-0.69,49.63%,2.01%,123.45,1.27
gekkoGekko,Initiator,Good / A,56.07,-1.21,50.31%,5.79%,123.57,1.20
harborHarbor,Controller,Bad / D,22.15,-0.76,48.71%,1.06%,123.33,1.24
isoIso,Duelist,Good / A,59.16,+2.63,50.16%,3.80%,151.79,1.32
jettJett,Duelist,Strong / S,74.30,-0.77,50.32%,6.48%,151.78,1.34
kayoKAY/O,Initiator,Fair / B,36.10,+3.19,48.89%,2.63%,125.07,1.35
killjoyKilljoy,Sentinel,Good / A,55.17,+3.43,50.75%,4.11%,133.10,1.23
neonNeon,Duelist,Strong / S,59.48,-1.31,50.14%,5.07%,140.54,1.27
omenOmen,Controller,Good / A,57.40,+0.21,49.21%,6.25%,136.38,1.27
phoenixPhoenix,Duelist,Fair / B,49.10,+2.36,49.71%,2.89%,145.66,1.32
razeRaze,Duelist,Good / A,50.30,+4.57,49.48%,3.94%,144.05,1.27
reynaReyna,Duelist,God / S+,98.57,-0.08,50.37%,10.55%,154.39,1.41
sageSage,Sentinel,Strong / S,68.31,-0.03,50.19%,8.49%,118.90,1.23
skyeSkye,Initiator,Weak / C,35.06,+3.49,49.61%,2.18%,121.81,1.27
sovaSova,Initiator,Good / A,53.47,-0.75,49.69%,5.37%,130.35,1.25
viperViper,Controller,Fair / B,46.59,-6.06,49.68%,3.34%,133.88,1.30
vyseVyse,Sentinel,Weak / C,34.22,-13.26,49.33%,2.10%,128.60,1.26
yoruYoru,Duelist,Fair / B,37.68,+1.49,48.99%,3.12%,133.41,1.23
