Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Weak / C,34.52,-2.85,49.26%,0.39%,139.67,1.39
breachBreach,Initiator,Bad / D,33.91,+0.77,49.55%,0.57%,131.74,1.32
brimstoneBrimstone,Controller,Weak / C,35.28,+0.74,49.70%,0.49%,131.91,1.42
chamberChamber,Sentinel,Strong / S,68.59,-2.33,50.09%,8.27%,148.19,1.32
cloveClove,Controller,Strong / S,71.09,+2.28,51.20%,7.64%,154.46,1.47
cypherCypher,Sentinel,Bad / D,34.07,-1.86,49.07%,1.00%,131.48,1.27
deadlockDeadlock,Sentinel,Fair / B,37.49,+0.94,50.34%,1.07%,135.93,1.28
fadeFade,Initiator,Fair / B,37.22,+3.64,50.81%,0.62%,132.79,1.36
gekkoGekko,Initiator,Good / A,49.03,-2.56,50.09%,4.45%,126.08,1.23
harborHarbor,Controller,Weak / C,36.19,+0.98,49.26%,1.12%,133.05,1.35
isoIso,Duelist,Good / A,53.58,+0.37,50.69%,3.46%,167.81,1.40
jettJett,Duelist,God / S+,97.76,+0.23,50.26%,14.84%,160.46,1.34
kayoKAY/O,Initiator,Fair / B,38.73,+0.32,48.58%,1.71%,134.09,1.45
killjoyKilljoy,Sentinel,Good / A,60.13,+0.01,50.24%,6.71%,138.26,1.23
neonNeon,Duelist,Good / A,46.08,+1.35,50.25%,2.87%,148.48,1.27
omenOmen,Controller,Fair / B,42.89,+1.13,49.07%,2.77%,137.94,1.33
phoenixPhoenix,Duelist,Fair / B,40.65,-0.10,50.12%,1.21%,152.64,1.35
razeRaze,Duelist,Good / A,46.21,-0.56,49.82%,2.89%,153.40,1.29
reynaReyna,Duelist,God / S+,84.14,+0.04,50.29%,11.35%,160.13,1.39
sageSage,Sentinel,Good / A,47.24,+1.25,50.43%,3.65%,125.54,1.30
skyeSkye,Initiator,Bad / D,33.89,+0.48,48.87%,0.86%,131.07,1.34
sovaSova,Initiator,Strong / S,80.65,+1.19,50.05%,11.56%,136.42,1.32
viperViper,Controller,Strong / S,67.82,+0.09,49.92%,8.24%,140.38,1.37
vyseVyse,Sentinel,Weak / C,35.97,-5.64,49.09%,0.98%,139.87,1.34
yoruYoru,Duelist,Fair / B,36.87,+0.09,48.87%,1.29%,145.55,1.30
