Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA
astraAstra,Controller,Bad / D,30.41,+0.69,49.51%,0.52%,139.31,1.40
breachBreach,Initiator,Bad / D,30.63,+1.57,49.56%,1.14%,132.57,1.30
brimstoneBrimstone,Controller,Weak / C,32.62,+0.36,49.08%,1.29%,135.33,1.41
chamberChamber,Sentinel,Strong / S,69.55,-3.26,50.24%,6.90%,150.36,1.36
cloveClove,Controller,Strong / S,82.47,+0.22,51.27%,7.95%,155.63,1.48
cypherCypher,Sentinel,Fair / B,34.53,+0.58,49.58%,1.83%,132.01,1.30
deadlockDeadlock,Sentinel,Weak / C,33.35,+0.11,49.77%,1.51%,134.80,1.27
fadeFade,Initiator,Weak / C,31.24,-2.52,49.72%,1.20%,128.76,1.32
gekkoGekko,Initiator,Good / A,54.55,+1.45,50.44%,5.26%,127.75,1.25
harborHarbor,Controller,Bad / D,28.40,+4.04,49.10%,1.04%,130.23,1.32
isoIso,Duelist,Good / A,55.64,+1.27,50.48%,3.57%,164.76,1.40
jettJett,Duelist,God / S+,94.62,-0.06,50.43%,10.87%,161.90,1.38
kayoKAY/O,Initiator,Fair / B,38.00,+1.20,48.98%,2.38%,132.35,1.42
killjoyKilljoy,Sentinel,Good / A,56.43,+2.12,50.54%,5.15%,138.22,1.25
neonNeon,Duelist,Good / A,50.38,+0.44,50.13%,3.87%,147.73,1.29
omenOmen,Controller,Good / A,50.40,-0.03,48.94%,4.85%,139.03,1.32
phoenixPhoenix,Duelist,Fair / B,43.42,-0.63,50.01%,2.13%,154.39,1.37
razeRaze,Duelist,Fair / B,48.53,-1.90,49.58%,3.61%,153.59,1.31
reynaReyna,Duelist,God / S+,98.80,+0.36,50.55%,11.28%,162.64,1.44
sageSage,Sentinel,Strong / S,59.38,+1.45,50.33%,6.15%,124.36,1.29
skyeSkye,Initiator,Weak / C,32.31,+3.81,49.49%,1.55%,128.27,1.32
sovaSova,Initiator,Strong / S,68.54,-0.33,50.01%,7.46%,137.41,1.32
viperViper,Controller,Good / A,57.28,-0.67,50.12%,5.05%,140.26,1.37
vyseVyse,Sentinel,Fair / B,33.94,-8.85,49.42%,1.60%,136.55,1.32
yoruYoru,Duelist,Fair / B,34.60,-1.42,49.13%,1.82%,142.61,1.29
